,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Hunter Lombardo,Bashar Hussain,9,8,1,2015-09-07,2015 WPA World 9-Ball Championship
1,Irsal Nasution,Albin Ouschan,8,9,2,2015-09-07,2015 WPA World 9-Ball Championship
2,Khaled Farag,Hunter Lombardo,5,9,3,2015-09-07,2015 WPA World 9-Ball Championship
3,Irsal Nasution,Konstantin Stepanow,9,5,4,2015-09-07,2015 WPA World 9-Ball Championship
4,Albin Ouschan,Khaled Farag,9,5,5,2015-09-07,2015 WPA World 9-Ball Championship
5,Satoshi Kawabata,Hunter Lombardo,9,6,6,2015-09-07,2015 WPA World 9-Ball Championship
6,Bashar Hussain,Irsal Nasution,9,5,7,2015-09-07,2015 WPA World 9-Ball Championship
7,Konstantin Stepanow,Wu Kun-lin,7,9,8,2015-09-07,2015 WPA World 9-Ball Championship
8,Albin Ouschan,Satoshi Kawabata,8,9,9,2015-09-07,2015 WPA World 9-Ball Championship
9,Bashar Hussain,Wu Kun-lin,4,9,10,2015-09-07,2015 WPA World 9-Ball Championship
10,Tōru Kuribayashi,Radosław Babica,9,8,11,2015-09-07,2015 WPA World 9-Ball Championship
11,Abdullah al-Yousef,Marc Bijsterbosch,8,9,12,2015-09-07,2015 WPA World 9-Ball Championship
12,Tōru Kuribayashi,Mohd Al Bin Ali,9,8,13,2015-09-07,2015 WPA World 9-Ball Championship
13,Abdullah al-Yousef,Bader al-Awadhi,9,6,14,2015-09-07,2015 WPA World 9-Ball Championship
14,Wang Can,Tōru Kuribayashi,9,6,15,2015-09-07,2015 WPA World 9-Ball Championship
15,Marc Bijsterbosch,Mohd Al Bin Ali,9,4,16,2015-09-07,2015 WPA World 9-Ball Championship
16,Radosław Babica,Abdullah al-Yousef,9,3,17,2015-09-07,2015 WPA World 9-Ball Championship
17,Rubén Bautista,Bader al-Awadhi,9,7,18,2015-09-07,2015 WPA World 9-Ball Championship
18,Wang Can,Marc Bijsterbosch,9,4,19,2015-09-07,2015 WPA World 9-Ball Championship
19,Radosław Babica,Rubén Bautista,8,9,20,2015-09-07,2015 WPA World 9-Ball Championship
20,Mehdi Rasekhi,Yang Ching-shun,5,9,21,2015-09-07,2015 WPA World 9-Ball Championship
21,Waleed Majid,Justin Campbell,5,9,22,2015-09-07,2015 WPA World 9-Ball Championship
22,Roman Hybler,Mehdi Rasekhi,7,9,23,2015-09-07,2015 WPA World 9-Ball Championship
23,Waleed Majid,Francisco Sánchez,9,5,24,2015-09-07,2015 WPA World 9-Ball Championship
24,Li Hewen,Roman Hybler,9,8,25,2015-09-07,2015 WPA World 9-Ball Championship
25,Justin Campbell,Mehdi Rasekhi,9,2,26,2015-09-07,2015 WPA World 9-Ball Championship
26,Waleed Majid,Yang Ching-shun,6,9,27,2015-09-07,2015 WPA World 9-Ball Championship
27,Francisco Sánchez,Yukio Akakariyama,8,9,28,2015-09-07,2015 WPA World 9-Ball Championship
28,Li Hewen,Justin Campbell,9,2,29,2015-09-07,2015 WPA World 9-Ball Championship
29,Yang Ching-shun,Yukio Akakariyama,6,9,30,2015-09-07,2015 WPA World 9-Ball Championship
30,Mohammed Saeed (pool player),Zhou Long (Poolbillardspieler) [Zhou ,5,9,31,2015-09-07,2015 WPA World 9-Ball Championship
31,Marco Teutscher,Pordel Mohammadali,9,3,32,2015-09-07,2015 WPA World 9-Ball Championship
32,Francois Ellis,Mohammed Saeed (pool player),3,9,33,2015-09-07,2015 WPA World 9-Ball Championship
33,Mohamed Shareef,Marco Teutscher,0,9,34,2015-09-07,2015 WPA World 9-Ball Championship
34,Raymund Faraon,Francois Ellis,9,3,35,2015-09-07,2015 WPA World 9-Ball Championship
35,Pordel Mohammadali,Mohammed Saeed,9,6,36,2015-09-07,2015 WPA World 9-Ball Championship
36,Nikos Ekonomopoulos,Mohamed Shareef,9,1,37,2015-09-07,2015 WPA World 9-Ball Championship
37,Marco Teutscher,Zhou Long,7,9,38,2015-09-07,2015 WPA World 9-Ball Championship
38,Raymund Faraon,Pordel Mohammadali,9,4,39,2015-09-07,2015 WPA World 9-Ball Championship
39,Nikos Ekonomopoulos,Zhou Long,9,6,40,2015-09-07,2015 WPA World 9-Ball Championship
40,Vegar Kristiansen,Oliver Medenilla,6,9,41,2015-09-07,2015 WPA World 9-Ball Championship
41,Shannon Ducharme,Warren Kiamco,6,9,42,2015-09-07,2015 WPA World 9-Ball Championship
42,Vegar Kristiansen,Jeong Young-hwa,9,7,43,2015-09-07,2015 WPA World 9-Ball Championship
43,Shannon Ducharme,Mohanna Obaidly,9,8,44,2015-09-07,2015 WPA World 9-Ball Championship
44,Warren Kiamco,Vegar Kristiansen,9,2,45,2015-09-07,2015 WPA World 9-Ball Championship
