,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Abdulatif Alfawal,Witalij Pazura,6,9,1,2018-12-10,2018 WPA World 9-Ball Championship
1,Ryu Seung-woo,Meshaal al-Murdhi,9,3,2,2018-12-10,2018 WPA World 9-Ball Championship
2,Alejandro Carvajal,Abdulatif Alfawal,4,9,3,2018-12-10,2018 WPA World 9-Ball Championship
3,Fayaz Hussain,Ryu Seung-woo,3,9,4,2018-12-10,2018 WPA World 9-Ball Championship
4,Eklent Kaçi,Alejandro Carvajal,9,7,5,2018-12-10,2018 WPA World 9-Ball Championship
5,Meshaal al-Murdhi,Abdulatif Alfawal,9,5,6,2018-12-10,2018 WPA World 9-Ball Championship
6,Aloysius Yapp,Fayaz Hussain,9,3,7,2018-12-10,2018 WPA World 9-Ball Championship
7,Witalij Pazura,Ryu Seung-woo,9,5,8,2018-12-10,2018 WPA World 9-Ball Championship
8,Eklent Kaçi,Meshaal al-Murdhi,9,6,9,2018-12-10,2018 WPA World 9-Ball Championship
9,Aloysius Yapp,Witalij Pazura,9,8,10,2018-12-10,2018 WPA World 9-Ball Championship
10,Matthew Edwards,Radosław Babica,7,9,11,2018-12-10,2018 WPA World 9-Ball Championship
11,Hunter Lombardo,Mazen Berjaoui,8,9,12,2018-12-10,2018 WPA World 9-Ball Championship
12,Stanimir Ruslanow,Matthew Edwards,5,9,13,2018-12-10,2018 WPA World 9-Ball Championship
13,Hunter Lombardo,Sami Koylu,9,7,14,2018-12-10,2018 WPA World 9-Ball Championship
14,Joshua Filler,Stanimir Ruslanow,9,5,15,2018-12-10,2018 WPA World 9-Ball Championship
15,Mazen Berjaoui,Matthew Edwards,9,6,16,2018-12-10,2018 WPA World 9-Ball Championship
16,Hunter Lombardo,Radosław Babica,5,9,17,2018-12-10,2018 WPA World 9-Ball Championship
17,Sami Koylu,Jeff de Luna,7,9,18,2018-12-10,2018 WPA World 9-Ball Championship
18,Joshua Filler,Mazen Berjaoui,9,5,19,2018-12-10,2018 WPA World 9-Ball Championship
19,Radosław Babica,Jeff de Luna,6,9,20,2018-12-10,2018 WPA World 9-Ball Championship
20,Roland Garcia,Billy Thorpe,9,5,21,2018-12-10,2018 WPA World 9-Ball Championship
21,David Alcaide,Bader al-Awadhi,7,9,22,2018-12-10,2018 WPA World 9-Ball Championship
22,Roland Garcia,Ahmed Nizam Uddin,9,5,23,2018-12-10,2018 WPA World 9-Ball Championship
23,Ahmed Aleqaly,David Alcaide,2,9,24,2018-12-10,2018 WPA World 9-Ball Championship
24,Roland Garcia,Hsu Jui-an,8,9,25,2018-12-10,2018 WPA World 9-Ball Championship
25,Ahmed Nizam Uddin,Bader al-Awadhi,1,9,26,2018-12-10,2018 WPA World 9-Ball Championship
26,Billy Thorpe,Ahmed Aleqaly,9,4,27,2018-12-10,2018 WPA World 9-Ball Championship
27,Liu Ri-teng,David Alcaide,9,1,28,2018-12-10,2018 WPA World 9-Ball Championship
28,Hsu Jui-an,Bader al-Awadhi,9,1,29,2018-12-10,2018 WPA World 9-Ball Championship
29,Billy Thorpe,Liu Ri-teng,7,9,30,2018-12-10,2018 WPA World 9-Ball Championship
30,Omar al-Shaheen,Sanjin Pehlivanović,9,6,31,2018-12-10,2018 WPA World 9-Ball Championship
31,Johann Chua,Jeong Young-hwa,9,7,32,2018-12-10,2018 WPA World 9-Ball Championship
32,Omar al-Shaheen,Mohammad Soufi,9,6,33,2018-12-10,2018 WPA World 9-Ball Championship
33,Wojciech Szewczyk,Johann Chua,3,9,34,2018-12-10,2018 WPA World 9-Ball Championship
34,Fjodor Gorst,Omar al-Shaheen,9,6,35,2018-12-10,2018 WPA World 9-Ball Championship
35,Mohammad Soufi,Jeong Young-hwa,7,9,36,2018-12-10,2018 WPA World 9-Ball Championship
36,Wojciech Szewczyk,Robbie Capito,5,9,37,2018-12-10,2018 WPA World 9-Ball Championship
37,Sanjin Pehlivanović,Johann Chua,9,7,38,2018-12-10,2018 WPA World 9-Ball Championship
38,Fjodor Gorst,Jeong Young-hwa,9,1,39,2018-12-10,2018 WPA World 9-Ball Championship
39,Robbie Capito,Sanjin Pehlivanović,9,5,40,2018-12-10,2018 WPA World 9-Ball Championship
40,Chang Yu-Lung,Petri Makkonen,6,9,41,2018-12-10,2018 WPA World 9-Ball Championship
41,Ahmed Tanvir,Francisco Díaz-Pizarro,5,9,42,2018-12-10,2018 WPA World 9-Ball Championship
42,Chang Yu-Lung,Israel Rota,9,5,43,2018-12-10,2018 WPA World 9-Ball Championship
43,Ahmed Tanvir,Fawaz al-Rashedi,9,4,44,2018-12-10,2018 WPA World 9-Ball Championship
44,Niels Feijen,Chang Yu-Lung,9,5,45,2018-12-10,2018 WPA World 9-Ball Championship
45,Francisco Díaz-Pizarro,Israel Rota,9,2,46,2018-12-10,2018 WPA World 9-Ball Championship
46,Corey Deuel,Ahmed Tanvir,9,5,47,2018-12-10,2018 WPA World 9-Ball Championship
47,Fawaz al-Rashedi,Petri Makkonen,3,9,48,2018-12-10,2018 WPA World 9-Ball Championship
48,Niels Feijen,Francisco Díaz-Pizarro,9,7,49,2018-12-10,2018 WPA World 9-Ball Championship
49,Corey Deuel,Petri Makkonen,9,4,50,2018-12-10,2018 WPA World 9-Ball Championship
50,Satoshi Kawabata,Jeffrey Ignacio,6,9,51,2018-12-10,2018 WPA World 9-Ball Championship
