,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Jalal Yousef,Omar Alshaheen,2,5,1,2019-04-14,2019 WPA Players Championship Qualifier 3
1,Sanjin Pehlivanovic,Chris Lulek,5,2,2,2019-04-14,2019 WPA Players Championship Qualifier 3
2,Lenny Rakers,Dean Goddard,0,5,3,2019-04-14,2019 WPA Players Championship Qualifier 3
3,Manuel Perez,Mark Todd,5,0,4,2019-04-14,2019 WPA Players Championship Qualifier 3
4,Lance  Salazar,Ruslan Chinahov,0,5,5,2019-04-14,2019 WPA Players Championship Qualifier 3
5,Raymund Faraon,Ozzy Reynolds,5,1,6,2019-04-14,2019 WPA Players Championship Qualifier 3
6,Mitch Ellerman,Lin Da-Li,5,2,7,2019-04-14,2019 WPA Players Championship Qualifier 3
7,Vilmos Foldes,Kings Santy,3,5,8,2019-04-14,2019 WPA Players Championship Qualifier 3
8,Luu Minh Phuc,Chris Mohr,5,1,9,2019-04-14,2019 WPA Players Championship Qualifier 3
9,Chris Lawson,Jeffrey Ignacio,1,5,10,2019-04-14,2019 WPA Players Championship Qualifier 3
10,Ken Thompson,Chris McDaniel,2,5,11,2019-04-14,2019 WPA Players Championship Qualifier 3
11,Mike Hutcheson,Konrad Piekarski,5,4,12,2019-04-14,2019 WPA Players Championship Qualifier 3
12,Ian Costello,Gabe Owen,3,5,13,2019-04-14,2019 WPA Players Championship Qualifier 3
13,Ray Robles II,Kostas Koukiadakis,5,3,14,2019-04-14,2019 WPA Players Championship Qualifier 3
14,Gary Lutman,Vang Bui Xuan,3,5,15,2019-04-14,2019 WPA Players Championship Qualifier 3
15,Joe Auzenne,Chris Alexander,0,5,16,2019-04-14,2019 WPA Players Championship Qualifier 3
16,Daniel Baker,Omar Alshaheen,0,5,17,2019-04-14,2019 WPA Players Championship Qualifier 3
17,Sanjin Pehlivanovic,Dean Goddard,5,1,18,2019-04-14,2019 WPA Players Championship Qualifier 3
18,Donny Branson,Manuel Perez,5,2,19,2019-04-14,2019 WPA Players Championship Qualifier 3
19,Tyler Styer,Ruslan Chinahov,5,2,20,2019-04-14,2019 WPA Players Championship Qualifier 3
20,Lefteris Georgiou,Raymund Faraon,5,4,21,2019-04-14,2019 WPA Players Championship Qualifier 3
21,Jui-An Hsu,Mitch Ellerman,4,5,22,2019-04-14,2019 WPA Players Championship Qualifier 3
22,Jeffrey De Luna,Kings Santy,5,2,23,2019-04-14,2019 WPA Players Championship Qualifier 3
23,Phuc Long Nguyen,Luu Minh Phuc,4,5,24,2019-04-14,2019 WPA Players Championship Qualifier 3
24,Szu-Ting Kuo,Jeffrey Ignacio,0,5,25,2019-04-14,2019 WPA Players Championship Qualifier 3
25,Chris McDaniel,Ron Hawes,5,1,26,2019-04-14,2019 WPA Players Championship Qualifier 3
26,Marc Vidal Claramunt,Mike Hutcheson,5,3,27,2019-04-14,2019 WPA Players Championship Qualifier 3
27,Michael Leahy,Gabe Owen,0,5,28,2019-04-14,2019 WPA Players Championship Qualifier 3
28,Nick Malaj,Ray Robles II,5,2,29,2019-04-14,2019 WPA Players Championship Qualifier 3
29,Jason Merry,Che-Wei Fu,0,5,30,2019-04-14,2019 WPA Players Championship Qualifier 3
30,Blake Baker,Vang Bui Xuan,3,5,31,2019-04-14,2019 WPA Players Championship Qualifier 3
31,Cheng-Chieh Liu,Chris Alexander,5,2,32,2019-04-14,2019 WPA Players Championship Qualifier 3
32,Omar Alshaheen,Sanjin Pehlivanovic,5,0,33,2019-04-14,2019 WPA Players Championship Qualifier 3
33,Donny Branson,Tyler Styer,3,5,34,2019-04-14,2019 WPA Players Championship Qualifier 3
34,Lefteris Georgiou,Mitch Ellerman,1,5,35,2019-04-14,2019 WPA Players Championship Qualifier 3
35,Jeffrey De Luna,Luu Minh Phuc,5,0,36,2019-04-14,2019 WPA Players Championship Qualifier 3
36,Jeffrey Ignacio,Chris McDaniel,5,1,37,2019-04-14,2019 WPA Players Championship Qualifier 3
37,Marc Vidal Claramunt,Gabe Owen,5,4,38,2019-04-14,2019 WPA Players Championship Qualifier 3
38,Nick Malaj,Che-Wei Fu,5,3,39,2019-04-14,2019 WPA Players Championship Qualifier 3
39,Vang Bui Xuan,Cheng-Chieh Liu,0,5,40,2019-04-14,2019 WPA Players Championship Qualifier 3
40,Omar Alshaheen,Tyler Styer,5,2,41,2019-04-14,2019 WPA Players Championship Qualifier 3
41,Mitch Ellerman,Jeffrey De Luna,5,3,42,2019-04-14,2019 WPA Players Championship Qualifier 3
42,Jeffrey Ignacio,Marc Vidal Claramunt,5,0,43,2019-04-14,2019 WPA Players Championship Qualifier 3
43,Nick Malaj,Cheng-Chieh Liu,5,4,44,2019-04-14,2019 WPA Players Championship Qualifier 3
