,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Wang Can,Warren Kiamco,11,9,1,2014-06-21,2014 WPA World 9-Ball Championship
1,Raymund Faraon,Liu Cheng-chieh,11,5,2,2014-06-21,2014 WPA World 9-Ball Championship
2,Elmer Haya,Francisco Felicilda,11,4,3,2014-06-21,2014 WPA World 9-Ball Championship
3,Hayato Hijikata,Masaaki Tanaka,11,8,4,2014-06-21,2014 WPA World 9-Ball Championship
4,Waleed Majid,Lee Van Corteza,11,6,5,2014-06-21,2014 WPA World 9-Ball Championship
5,Darren Appleton,Daryl Peach,11,3,6,2014-06-21,2014 WPA World 9-Ball Championship
6,Konstantin Stepanow,Andreas Gerwen,11,8,7,2014-06-21,2014 WPA World 9-Ball Championship
7,Johann Chua,Daniele Corrieri,11,4,8,2014-06-21,2014 WPA World 9-Ball Championship
8,Mario He,Alex Pagulayan,11,9,9,2014-06-21,2014 WPA World 9-Ball Championship
9,Jayson Shaw,Jeong Young-hwa,9,11,10,2014-06-21,2014 WPA World 9-Ball Championship
10,Radosław Babica,Manuel Gama,11,3,11,2014-06-21,2014 WPA World 9-Ball Championship
11,Niels Feijen,Salaheldeen Al Rimawi,11,4,12,2014-06-21,2014 WPA World 9-Ball Championship
12,Carlo Biado,Mieszko Fortuński,11,6,13,2014-06-21,2014 WPA World 9-Ball Championship
13,Jeffrey de Luna,Jason Klatt,6,11,14,2014-06-21,2014 WPA World 9-Ball Championship
14,Dennis Orcollo,Naoyuki Ōi,8,11,15,2014-06-21,2014 WPA World 9-Ball Championship
15,Ko Pin-yi,Sundeep Gulati,11,3,16,2014-06-21,2014 WPA World 9-Ball Championship
16,Fu Che-wei,Hsu Kai-lun,6,11,17,2014-06-21,2014 WPA World 9-Ball Championship
17,Wu Jiaqing,Lo Li-wen,11,4,18,2014-06-21,2014 WPA World 9-Ball Championship
18,Huidji See,Stephan Cohen,5,11,19,2014-06-21,2014 WPA World 9-Ball Championship
19,Cheng Yu-hsuan,Chang Yu-Lung,9,11,20,2014-06-21,2014 WPA World 9-Ball Championship
20,Shane Van Boening,Chang Jung-Lin,11,9,21,2014-06-21,2014 WPA World 9-Ball Championship
21,Dang Jinhu,Karl Boyes,11,6,22,2014-06-21,2014 WPA World 9-Ball Championship
22,Tōru Kuribayashi,Alexander Kazakis,11,9,23,2014-06-21,2014 WPA World 9-Ball Championship
23,Nikos Ekonomopoulos,Fabio Petroni,11,5,24,2014-06-21,2014 WPA World 9-Ball Championship
