,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Chang Jung-Lin,Oliver Ortmann,6,11,1,2013-09-02,2013 WPA World 9-Ball Championship
1,Antonio Gabica,Ang Tuan Nguyen,11,8,2,2013-09-02,2013 WPA World 9-Ball Championship
2,Ko Pin-yi,Ryu Seung-woo,11,2,3,2013-09-02,2013 WPA World 9-Ball Championship
3,Mika Immonen,Alex Pagulayan,11,6,4,2013-09-02,2013 WPA World 9-Ball Championship
4,Wu Jiaqing,Chao Fong-pang,11,8,5,2013-09-02,2013 WPA World 9-Ball Championship
5,Nick van den Berg,Efren Reyes,11,5,6,2013-09-02,2013 WPA World 9-Ball Championship
6,Toh Lian Han,Bu Hong Kong,11,5,7,2013-09-02,2013 WPA World 9-Ball Championship
7,Hsu Kai-lun,Phil Burford,11,6,8,2013-09-02,2013 WPA World 9-Ball Championship
8,Marlon Villamor,Karl Boyes,10,11,9,2013-09-02,2013 WPA World 9-Ball Championship
9,Konstantin Stepanow,Huidji See,6,11,10,2013-09-02,2013 WPA World 9-Ball Championship
10,Israel Rota,Mark Antony,11,8,11,2013-09-02,2013 WPA World 9-Ball Championship
11,Lo Li-wen,Raymund Faraon,11,4,12,2013-09-02,2013 WPA World 9-Ball Championship
12,Manuel Gama,Lee Van Corteza,7,11,13,2013-09-02,2013 WPA World 9-Ball Championship
13,Daryl Peach,Corey Deuel,11,10,14,2013-09-02,2013 WPA World 9-Ball Championship
14,Mario He,Mark Gray,11,7,15,2013-09-02,2013 WPA World 9-Ball Championship
15,Wang Can,Nikos Ekonomopoulos,8,11,16,2013-09-02,2013 WPA World 9-Ball Championship
16,Naoyuki Ōi,Dominic Jentsch,11,5,17,2013-09-02,2013 WPA World 9-Ball Championship
17,Vilmos Földes,Khanh Hoang Nguyen,11,6,18,2013-09-02,2013 WPA World 9-Ball Championship
18,Niels Feijen,Jeffrey de Luna,9,11,19,2013-09-02,2013 WPA World 9-Ball Championship
19,Ruslan Chinahov,Muhammad Zulfikiri,7,11,20,2013-09-02,2013 WPA World 9-Ball Championship
20,Darren Appleton,Ivo Aarts,11,3,21,2013-09-02,2013 WPA World 9-Ball Championship
21,Tōru Kuribayashi,Thorsten Hohmann,10,11,22,2013-09-02,2013 WPA World 9-Ball Championship
22,Nick Malai,John Morra,9,11,23,2013-09-02,2013 WPA World 9-Ball Championship
23,Dennis Orcollo,Cheng Yu-hsuan,11,10,24,2013-09-02,2013 WPA World 9-Ball Championship
24,Chang Yu-Lung,Chris Melling,7,11,25,2013-09-02,2013 WPA World 9-Ball Championship
25,Enrique Rojas,Ramil Gallego,8,11,26,2013-09-02,2013 WPA World 9-Ball Championship
26,David Alcaide,Imran Majid,11,8,27,2013-09-02,2013 WPA World 9-Ball Championship
27,Jalal Yousef,Alexander Kazakis,11,6,28,2013-09-02,2013 WPA World 9-Ball Championship
28,Ralf Souquet,Carlo Biado,5,11,29,2013-09-02,2013 WPA World 9-Ball Championship
29,Shane Van Boening,Mohamad Ali Berjaoui,11,2,30,2013-09-02,2013 WPA World 9-Ball Championship
30,Fabio Petroni,Dimitri Jungo,11,6,31,2013-09-02,2013 WPA World 9-Ball Championship
31,Omar al-Shaheen,Marlon Manalo,5,11,32,2013-09-02,2013 WPA World 9-Ball Championship
32,Oliver Ortmann,Antonio Gabica,8,11,33,2013-09-02,2013 WPA World 9-Ball Championship
33,Ko Pin-yi,Mika Immonen,11,8,34,2013-09-02,2013 WPA World 9-Ball Championship
34,Wu Jiaqing,Nick van den Berg,10,11,35,2013-09-02,2013 WPA World 9-Ball Championship
35,Toh Lian Han,Hsu Kai-lun,9,11,36,2013-09-02,2013 WPA World 9-Ball Championship
36,Karl Boyes,Huidji See,11,8,37,2013-09-02,2013 WPA World 9-Ball Championship
37,Israel Rota,Lo Li-wen,2,11,38,2013-09-02,2013 WPA World 9-Ball Championship
38,Lee Van Corteza,Daryl Peach,11,4,39,2013-09-02,2013 WPA World 9-Ball Championship
39,Mario He,Nikos Ekonomopoulos,6,11,40,2013-09-02,2013 WPA World 9-Ball Championship
40,Naoyuki Ōi,Vilmos Földes,7,11,41,2013-09-02,2013 WPA World 9-Ball Championship
