,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Ralf Souquet,Serge Das,11,5,1,2011-06-25,2011 WPA World 9-Ball Championship
1,Radosław Babica,Mariusz Skoneczny,7,11,2,2011-06-25,2011 WPA World 9-Ball Championship
2,Thorsten Hohmann,Lo Li-wen,7,11,3,2011-06-25,2011 WPA World 9-Ball Championship
3,Nick van den Berg,Vicenancio Tanio,7,11,4,2011-06-25,2011 WPA World 9-Ball Championship
4,Ralf Souquet,Mariusz Skoneczny,11,2,5,2011-06-25,2011 WPA World 9-Ball Championship
5,Lo Li-wen,Vicenancio Tanio,6,11,6,2011-06-25,2011 WPA World 9-Ball Championship
6,Ralf Souquet,Vicenancio Tanio,9,11,7,2011-06-25,2011 WPA World 9-Ball Championship
7,Carlo Dalmatin,Hsu Kai Lun,11,7,8,2011-06-25,2011 WPA World 9-Ball Championship
8,Yukio Akakariyama,Soheil Vahedi,11,7,9,2011-06-25,2011 WPA World 9-Ball Championship
9,Oliver Medenilla,Lee Van Corteza,5,11,10,2011-06-25,2011 WPA World 9-Ball Championship
10,Carlo Biado,Takhti Zarekani,11,6,11,2011-06-25,2011 WPA World 9-Ball Championship
11,Carlo Dalmatin,Yukio Akakariyama,8,11,12,2011-06-25,2011 WPA World 9-Ball Championship
12,Lee Van Corteza,Carlo Biado,10,11,13,2011-06-25,2011 WPA World 9-Ball Championship
13,Yukio Akakariyama,Carlo Biado,11,9,14,2011-06-25,2011 WPA World 9-Ball Championship
14,Mika Immonen,Antonio Gabica,10,11,15,2011-06-25,2011 WPA World 9-Ball Championship
15,Imran Majid,Naoyuki Ōi,4,11,16,2011-06-25,2011 WPA World 9-Ball Championship
16,Chris Melling,Hwang Yong,11,2,17,2011-06-25,2011 WPA World 9-Ball Championship
17,Kuo Po-Cheng,Mark Gray,10,11,18,2011-06-25,2011 WPA World 9-Ball Championship
18,Antonio Gabica,Naoyuki Ōi,11,6,19,2011-06-25,2011 WPA World 9-Ball Championship
19,Chris Melling,Mark Gray,10,11,20,2011-06-25,2011 WPA World 9-Ball Championship
20,Antonio Gabica,Mark Gray,5,11,21,2011-06-25,2011 WPA World 9-Ball Championship
21,Darren Appleton,Dang Jinhu,11,6,22,2011-06-25,2011 WPA World 9-Ball Championship
22,Alan Cuartero,Ahmad Taufiq Murni,11,9,23,2011-06-25,2011 WPA World 9-Ball Championship
23,Shane Van Boening,Konstantin Stepanov,11,8,24,2011-06-25,2011 WPA World 9-Ball Championship
24,Chang Jun Lin,Joven Alba,11,5,25,2011-06-25,2011 WPA World 9-Ball Championship
25,Darren Appleton,Alan Cuartero,11,4,26,2011-06-25,2011 WPA World 9-Ball Championship
26,Shane Van Boening,Chang Jun Lin,11,5,27,2011-06-25,2011 WPA World 9-Ball Championship
27,Darren Appleton,Shane Van Boening,10,11,28,2011-06-25,2011 WPA World 9-Ball Championship
28,Chris Orme,Ronnie Alcano,7,11,29,2011-06-25,2011 WPA World 9-Ball Championship
29,Raj Hundal,Tomoo Takano,11,10,30,2011-06-25,2011 WPA World 9-Ball Championship
30,Chang Yu-lung,Israel Rota,11,9,31,2011-06-25,2011 WPA World 9-Ball Championship
31,Niels Feijen,Scott Higgins,10,11,32,2011-06-25,2011 WPA World 9-Ball Championship
32,Ronnie Alcano,Raj Hundal,11,9,33,2011-06-25,2011 WPA World 9-Ball Championship
33,Chang Yu-lung,Scott Higgins,11,4,34,2011-06-25,2011 WPA World 9-Ball Championship
34,Ronnie Alcano,Chang Yu-lung,11,5,35,2011-06-25,2011 WPA World 9-Ball Championship
35,Antonio Lining,Oliver Ortmann,11,5,36,2011-06-25,2011 WPA World 9-Ball Championship
36,Roman Hybler,Liu Haitao,11,7,37,2011-06-25,2011 WPA World 9-Ball Championship
37,Mario He,Hunter Lombardo,8,11,38,2011-06-25,2011 WPA World 9-Ball Championship
38,Huidji See,Tōru Kuribayashi,8,11,39,2011-06-25,2011 WPA World 9-Ball Championship
39,Antonio Lining,Roman Hybler,11,5,40,2011-06-25,2011 WPA World 9-Ball Championship
40,Hunter Lombardo,Tōru Kuribayashi,4,11,41,2011-06-25,2011 WPA World 9-Ball Championship
41,Antonio Lining,Tōru Kuribayashi,9,11,42,2011-06-25,2011 WPA World 9-Ball Championship
42,Dennis Orcullo,Muhammad Zulfikri,11,9,43,2011-06-25,2011 WPA World 9-Ball Championship
43,Efren Reyes,Caneda Villamor,5,11,44,2011-06-25,2011 WPA World 9-Ball Championship
44,Francisco Bustamante,Sascha-Andrej Tege,11,4,45,2011-06-25,2011 WPA World 9-Ball Championship
45,Carlos Cabello,Riyan Setiawan,8,11,46,2011-06-25,2011 WPA World 9-Ball Championship
46,Dennis Orcullo,Caneda Villamor,11,6,47,2011-06-25,2011 WPA World 9-Ball Championship
47,Francisco Bustamante,Riyan Setiawan,11,10,48,2011-06-25,2011 WPA World 9-Ball Championship
48,Dennis Orcullo,Francisco Bustamante,11,7,49,2011-06-25,2011 WPA World 9-Ball Championship
49,Jeffrey de Luna,Fu Che-wei,9,11,50,2011-06-25,2011 WPA World 9-Ball Championship
50,Daryl Peach,Roberto Gomez,11,4,51,2011-06-25,2011 WPA World 9-Ball Championship
51,Stephan Cohen,Raymund Faron,11,9,52,2011-06-25,2011 WPA World 9-Ball Championship
52,Karl Boyes,Ko Pin-yi,8,11,53,2011-06-25,2011 WPA World 9-Ball Championship
53,Fu Che-wei,Daryl Peach,1,11,54,2011-06-25,2011 WPA World 9-Ball Championship
54,Stephan Cohen,Ko Pin-yi,3,11,55,2011-06-25,2011 WPA World 9-Ball Championship
55,Daryl Peach,Ko Pin-yi,11,9,56,2011-06-25,2011 WPA World 9-Ball Championship
56,Vicenancio Tanio,Yukio Akakariyama,10,11,57,2011-06-25,2011 WPA World 9-Ball Championship
57,Mark Gray,Shane Van Boening,11,9,58,2011-06-25,2011 WPA World 9-Ball Championship
58,Ronnie Alcano,Tōru Kuribayashi,11,10,59,2011-06-25,2011 WPA World 9-Ball Championship
59,Dennis Orcullo,Daryl Peach,11,4,60,2011-06-25,2011 WPA World 9-Ball Championship
60,Yukio Akakariyama,Mark Gray,11,10,61,2011-06-25,2011 WPA World 9-Ball Championship
61,Ronnie Alcano,Dennis Orcullo,11,9,62,2011-06-25,2011 WPA World 9-Ball Championship
62,Yukio Akakariyama,Ronnie Alcano,13,11,63,2011-06-25,2011 WPA World 9-Ball Championship
