,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Hassan Zeraatgar,Mieszko Fortuński,7,9,1,2017-12-09,2017 WPA World 9-Ball Championship
1,Maung Maung,Johann Chua,9,3,2,2017-12-09,2017 WPA World 9-Ball Championship
2,Hassan Zeraatgar,Zine el-Abidine Cherif,9,6,3,2017-12-09,2017 WPA World 9-Ball Championship
3,Maung Maung,Tomoo Takano,9,6,4,2017-12-09,2017 WPA World 9-Ball Championship
4,Johann Chua,Hassan Zeraatgar,9,4,5,2017-12-09,2017 WPA World 9-Ball Championship
5,Zine el-Abidine Cherif,Jalal al-Sarisi,1,9,6,2017-12-09,2017 WPA World 9-Ball Championship
6,Mieszko Fortuński,Maung Maung,9,3,7,2017-12-09,2017 WPA World 9-Ball Championship
7,Tomoo Takano,Francisco Sánchez,6,9,8,2017-12-09,2017 WPA World 9-Ball Championship
8,Johann Chua,Jalal Yousef,8,9,9,2017-12-09,2017 WPA World 9-Ball Championship
9,Mieszko Fortuński,Francisco Sánchez,5,9,10,2017-12-09,2017 WPA World 9-Ball Championship
10,Lee jun-ho,Bader al-Awadhi,7,9,11,2017-12-09,2017 WPA World 9-Ball Championship
11,Ryu Seung-woo,Muzammil Hussain,9,5,12,2017-12-09,2017 WPA World 9-Ball Championship
12,Mohamed el-Raousti,Lee Jun-ho,1,9,13,2017-12-09,2017 WPA World 9-Ball Championship
13,Ryu Seung-woo,Mika Immonen,9,5,14,2017-12-09,2017 WPA World 9-Ball Championship
14,Jeffrey de Luna,Mohamed el-Raousti,9,1,15,2017-12-09,2017 WPA World 9-Ball Championship
15,Muzammil Hussain,Lee Jun-ho,9,7,16,2017-12-09,2017 WPA World 9-Ball Championship
16,Ryu Seung-woo,Bader al-Awadhi,6,9,17,2017-12-09,2017 WPA World 9-Ball Championship
17,Keng Kwang Chan,Mika Immonen,9,6,18,2017-12-09,2017 WPA World 9-Ball Championship
18,Jeffrey de Luna,Muzammil Hussain,9,3,19,2017-12-09,2017 WPA World 9-Ball Championship
19,Bader al-Awadhi,Keng Kwang Chan,7,9,20,2017-12-09,2017 WPA World 9-Ball Championship
20,Majed Alazmi,Dang Jinhu,0,9,21,2017-12-09,2017 WPA World 9-Ball Championship
21,Teck Goh Chin,Warren Kiamco,6,9,22,2017-12-09,2017 WPA World 9-Ball Championship
22,Jason Theron,Majed Alazmi,8,9,23,2017-12-09,2017 WPA World 9-Ball Championship
23,Robert Hart,Teck Goh Chin,4,9,24,2017-12-09,2017 WPA World 9-Ball Championship
24,Warren Kiamco,Jason Theron,9,3,25,2017-12-09,2017 WPA World 9-Ball Championship
25,Majed Alazmi,Konstantin Stepanow,3,9,26,2017-12-09,2017 WPA World 9-Ball Championship
26,Robert Hart,Jeffrey Ignacio,3,9,27,2017-12-09,2017 WPA World 9-Ball Championship
27,Teck Goh Chin,Dang Jinhu,5,9,28,2017-12-09,2017 WPA World 9-Ball Championship
28,Warren Kiamco,Konstantin Stepanow,7,9,29,2017-12-09,2017 WPA World 9-Ball Championship
29,Jeffrey Ignacio,Dang Jinhu,9,6,30,2017-12-09,2017 WPA World 9-Ball Championship
30,Fawaz al-Rashedi,Niels Feijen,6,9,31,2017-12-09,2017 WPA World 9-Ball Championship
31,Wojciech Szewczyk,Lưu Minh Phúc,9,7,32,2017-12-09,2017 WPA World 9-Ball Championship
32,Fawaz al-Rashedi,Farhat Bouchaib,9,3,33,2017-12-09,2017 WPA World 9-Ball Championship
33,Wojciech Szewczyk,Ahmed Tanvir,9,6,34,2017-12-09,2017 WPA World 9-Ball Championship
34,Ko Pin-yi,Fawaz al-Rashedi,9,6,35,2017-12-09,2017 WPA World 9-Ball Championship
35,Lưu Minh Phúc,Farhat Bouchaib,9,2,36,2017-12-09,2017 WPA World 9-Ball Championship
36,Wojciech Szewczyk,Christian Sparrenlöv,8,9,37,2017-12-09,2017 WPA World 9-Ball Championship
37,Ahmed Tanvir,Niels Feijen,0,9,38,2017-12-09,2017 WPA World 9-Ball Championship
38,Ko Pin-yi,Lưu Minh Phúc,9,8,39,2017-12-09,2017 WPA World 9-Ball Championship
39,Christian Sparrenlöv,Niels Feijen,9,8,40,2017-12-09,2017 WPA World 9-Ball Championship
40,Han Haoxiang,Kong Dejing,5,9,41,2017-12-09,2017 WPA World 9-Ball Championship
41,Damianos Giallourakis,Ahmad Naiem,8,9,42,2017-12-09,2017 WPA World 9-Ball Championship
42,Han Haoxiang,Hunter Lombardo,9,4,43,2017-12-09,2017 WPA World 9-Ball Championship
43,Dharminder Lilly,Damianos Giallourakis,2,9,44,2017-12-09,2017 WPA World 9-Ball Championship
44,Han Haoxiang,Ahmad Naiem,2,9,45,2017-12-09,2017 WPA World 9-Ball Championship
45,Nick Malai,Hunter Lombardo,9,7,46,2017-12-09,2017 WPA World 9-Ball Championship
46,Kong Dejing,Dharminder Lilly,9,6,47,2017-12-09,2017 WPA World 9-Ball Championship
47,Damianos Giallourakis,Joshua Filler,6,9,48,2017-12-09,2017 WPA World 9-Ball Championship
48,Ahmad Naiem,Nick Malai,7,9,49,2017-12-09,2017 WPA World 9-Ball Championship
49,Kong Dejing,Joshua Filler,6,9,50,2017-12-09,2017 WPA World 9-Ball Championship
50,Mohammad Berjawi,Roland Garcia,6,9,51,2017-12-09,2017 WPA World 9-Ball Championship
51,Maxim Dudanez,Yukio Akakariyama,9,7,52,2017-12-09,2017 WPA World 9-Ball Championship
52,Alex Pagulayan,Mohammad Berjawi,7,9,53,2017-12-09,2017 WPA World 9-Ball Championship
53,Maxim Dudanez,Aayush Kumar,9,5,54,2017-12-09,2017 WPA World 9-Ball Championship
54,Alex Pagulayan,Yukio Akakariyama,8,9,55,2017-12-09,2017 WPA World 9-Ball Championship
55,Mohammad Berjawi,Lo Ho Sum,7,9,56,2017-12-09,2017 WPA World 9-Ball Championship
56,Maxim Dudanez,Maximilian Lechner,4,9,57,2017-12-09,2017 WPA World 9-Ball Championship
57,Aayush Kumar,Roland Garcia,6,9,58,2017-12-09,2017 WPA World 9-Ball Championship
58,Yukio Akakariyama,Lo Ho Sum,7,9,59,2017-12-09,2017 WPA World 9-Ball Championship
59,Maximilian Lechner,Roland Garcia,9,5,60,2017-12-09,2017 WPA World 9-Ball Championship
60,Lo Li-wen,Cheng Yu-hsuan,9,6,61,2017-12-09,2017 WPA World 9-Ball Championship
61,Wiktor Zieliński,Mario He,9,8,62,2017-12-09,2017 WPA World 9-Ball Championship
62,Tao Ying Duo,Lo Li-wen,4,9,63,2017-12-09,2017 WPA World 9-Ball Championship
