,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Ruslan Chinahov,Vilmos Foldes,5,4,1,2019-04-13,2019 WPA Players Championship Qualifier 2
1,Dean Goddard,Szu-Ting Kuo,4,5,2,2019-04-13,2019 WPA Players Championship Qualifier 2
2,Ray Robles II,Ken Thompson,5,1,3,2019-04-13,2019 WPA Players Championship Qualifier 2
3,Max Eberle,Jason Merry,5,0,4,2019-04-13,2019 WPA Players Championship Qualifier 2
4,Chris Lulek,Gary Lutman,5,0,5,2019-04-13,2019 WPA Players Championship Qualifier 2
5,Ozzy Reynolds,Kings Santy,5,3,6,2019-04-13,2019 WPA Players Championship Qualifier 2
6,Kostas Koukiadakis,Mark Todd,5,1,7,2019-04-13,2019 WPA Players Championship Qualifier 2
7,Jeffrey De Luna,Luu Minh Phuc,5,3,8,2019-04-13,2019 WPA Players Championship Qualifier 2
8,Omar Alshaheen,Jui-An Hsu,5,0,9,2019-04-13,2019 WPA Players Championship Qualifier 2
9,Yu-Lung Chang,Chris McDaniel,5,0,10,2019-04-13,2019 WPA Players Championship Qualifier 2
10,Jeffrey Ignacio,Jalal Yousef,5,3,11,2019-04-13,2019 WPA Players Championship Qualifier 2
11,Chris Alexander,Vang Bui Xuan,4,5,12,2019-04-13,2019 WPA Players Championship Qualifier 2
12,Mitch Ellerman,Ching-Shun Yang,3,5,13,2019-04-13,2019 WPA Players Championship Qualifier 2
13,Manuel Perez,Donny Branson,5,4,14,2019-04-13,2019 WPA Players Championship Qualifier 2
14,Blake Baker,Lance  Salazar,5,4,15,2019-04-13,2019 WPA Players Championship Qualifier 2
15,Lefteris Georgiou,Michael Leahy,5,0,16,2019-04-13,2019 WPA Players Championship Qualifier 2
16,Lin Da-Li,Cheng-Chieh Liu,5,2,17,2019-04-13,2019 WPA Players Championship Qualifier 2
17,Del Smith,Chris Lawson,3,5,18,2019-04-13,2019 WPA Players Championship Qualifier 2
18,Raymund Faraon,Ian Costello,5,4,19,2019-04-13,2019 WPA Players Championship Qualifier 2
19,Daniel Baker,Marc Vidal Claramunt,5,2,20,2019-04-13,2019 WPA Players Championship Qualifier 2
20,Ri Teng Liu,Phuc Long Nguyen,5,1,21,2019-04-13,2019 WPA Players Championship Qualifier 2
21,Chris Mohr,Joe Klimchak,1,5,22,2019-04-13,2019 WPA Players Championship Qualifier 2
22,Nick Malaj,Ruslan Chinahov,5,2,23,2019-04-13,2019 WPA Players Championship Qualifier 2
23,Szu-Ting Kuo,Ray Robles II,5,4,24,2019-04-13,2019 WPA Players Championship Qualifier 2
24,Tyler Styer,Max Eberle,4,5,25,2019-04-13,2019 WPA Players Championship Qualifier 2
25,Sanjin Pehlivanovic,Chris Lulek,1,5,26,2019-04-13,2019 WPA Players Championship Qualifier 2
26,Mike Hutcheson,Ozzy Reynolds,5,2,27,2019-04-13,2019 WPA Players Championship Qualifier 2
27,Kostas Koukiadakis,Jeffrey De Luna,2,5,28,2019-04-13,2019 WPA Players Championship Qualifier 2
28,Joe Auzenne,Omar Alshaheen,2,5,29,2019-04-13,2019 WPA Players Championship Qualifier 2
29,Yu-Lung Chang,Jeffrey Ignacio,5,3,30,2019-04-13,2019 WPA Players Championship Qualifier 2
30,Konrad Piekarski,Vang Bui Xuan,4,5,31,2019-04-13,2019 WPA Players Championship Qualifier 2
31,Ching-Shun Yang,Manuel Perez,5,0,32,2019-04-13,2019 WPA Players Championship Qualifier 2
32,Gabe Owen,Lefteris Georgiou,5,3,33,2019-04-13,2019 WPA Players Championship Qualifier 2
33,Che-Wei Fu,Lin Da-Li,5,0,34,2019-04-13,2019 WPA Players Championship Qualifier 2
34,Chris Lawson,Raymund Faraon,1,5,35,2019-04-13,2019 WPA Players Championship Qualifier 2
35,Lenny Rakers,Daniel Baker,1,5,36,2019-04-13,2019 WPA Players Championship Qualifier 2
36,Ri Teng Liu,Joe Klimchak,5,0,37,2019-04-13,2019 WPA Players Championship Qualifier 2
37,Nick Malaj,Szu-Ting Kuo,5,2,38,2019-04-13,2019 WPA Players Championship Qualifier 2
38,Max Eberle,Chris Lulek,5,1,39,2019-04-13,2019 WPA Players Championship Qualifier 2
39,Mike Hutcheson,Jeffrey De Luna,1,5,40,2019-04-13,2019 WPA Players Championship Qualifier 2
40,Omar Alshaheen,Yu-Lung Chang,3,5,41,2019-04-13,2019 WPA Players Championship Qualifier 2
41,Vang Bui Xuan,Ching-Shun Yang,1,5,42,2019-04-13,2019 WPA Players Championship Qualifier 2
42,Blake Baker,Gabe Owen,5,4,43,2019-04-13,2019 WPA Players Championship Qualifier 2
43,Che-Wei Fu,Raymund Faraon,0,5,44,2019-04-13,2019 WPA Players Championship Qualifier 2
44,Daniel Baker,Ri Teng Liu,1,5,45,2019-04-13,2019 WPA Players Championship Qualifier 2
45,Nick Malaj,Max Eberle,2,5,46,2019-04-13,2019 WPA Players Championship Qualifier 2
46,Jeffrey De Luna,Yu-Lung Chang,4,5,47,2019-04-13,2019 WPA Players Championship Qualifier 2
47,Ching-Shun Yang,Blake Baker,5,3,48,2019-04-13,2019 WPA Players Championship Qualifier 2
48,Raymund Faraon,Ri Teng Liu,3,5,49,2019-04-13,2019 WPA Players Championship Qualifier 2
