matchNumber,matchTime,playerA,playerARacks,playerB,playerBRacks,round,Competition
359B-07,17-Oct-10,Chris Bartram,11,Roberto Gomez,9,Prelim,2010 US Open 9-Ball
359B-08,17-Oct-10,Mika Immonen,11,Max Eberle,5,Prelim,2010 US Open 9-Ball
359B-09,17-Oct-10,Thorsten Hohmann,11,Lee Vann Corteza,7,Prelim,2010 US Open 9-Ball
359B-10,17-Oct-10,Efren Reyes,11,Marc Vidal,7,Prelim,2010 US Open 9-Ball
359B-11,17-Oct-10,Francisco Bustamante,11,Rob Saez,10,Prelim,2010 US Open 9-Ball
359B-12,17-Oct-10,Darren Appleton,11,Corey Deuel,8,Prelim,2010 US Open 9-Ball
359B-13,17-Oct-10,Mika Immonen,11,Jason Klatt,4,Prelim,2010 US Open 9-Ball
359B-14,17-Oct-10,Darren Appleton,11,David Alcaide,8,Prelim,2010 US Open 9-Ball
359B-15,17-Oct-10,Darren Appleton,11,Mika Immonen,9,Prelim,2010 US Open 9-Ball
359B-16,17-Oct-10,Corey Deuel,11,Mika Immonen,3,Semi-Final,2010 US Open 9-Ball
359B-17,17-Oct-10,Darren Appleton,15,Corey Deuel,13,Final,2010 US Open 9-Ball
D12-9B1,22-Jan-10,Rodolfo Luat,7,Dave Grau,3,Prelim,2010 Derby City Classic XII 9-Ball
D12-9B2,22-Jan-10,Rodney Morris,7,Justin Hall,5,Prelim,2010 Derby City Classic XII 9-Ball
D12-9B3,22-Jan-10,Efren Reyes,7,Shannon Murphy,6,Semi-Final,2010 Derby City Classic XII 9-Ball
D12-9B4,22-Jan-10,Efren Reyes,7,Rodney Morris,4,Final,2010 Derby City Classic XII 9-Ball
349B-01,19-Oct-09,Charlie Williams,11,Danny Harriman,9,Prelim,2009 US Open 9-Ball
349B-02,19-Oct-09,Rafael Martinez,11,Marc Vidal,8,Prelim,2009 US Open 9-Ball
349B-03,19-Oct-09,Ramil Gallego,11,Niels Feijen,8,Prelim,2009 US Open 9-Ball
349B-04,19-Oct-09,Chris Bartram,11,Mika Immonen,9,Prelim,2009 US Open 9-Ball
349B-05,19-Oct-09,Jose Parica,11,Tony Chohan,9,Prelim,2009 US Open 9-Ball
349B-06,19-Oct-09,Earl Strickland,11,Zion Zvi,4,Prelim,2009 US Open 9-Ball
349B-07,19-Oct-09,Shane Van Boening,11,Jason Kirkwood,7,Prelim,2009 US Open 9-Ball
349B-08,19-Oct-09,Niels Feijen,11,Raj Hundal ,7,Prelim,2009 US Open 9-Ball
349B-09,19-Oct-09,Rodney Morris,11,Corey Deuel,9,Prelim,2009 US Open 9-Ball
349B-10,19-Oct-09,Earl Strickland,11,Rafael Martinez,10,Prelim,2009 US Open 9-Ball
349B-11,19-Oct-09,Ricky Yang,11,Ronnie Alcano ,4,Prelim,2009 US Open 9-Ball
349B-12,19-Oct-09,Mika Immonen,11,Thorsten Hohmann,7,Prelim,2009 US Open 9-Ball
349B-13,19-Oct-09,Ralf Souquet,11,Stevie Moore,4,Prelim,2009 US Open 9-Ball
349B-14,19-Oct-09,Rodney Morris,11,Kim Davenport,2,Prelim,2009 US Open 9-Ball
349B-15,19-Oct-09,Kim Davenport,11,Johnny Archer,10,Prelim,2009 US Open 9-Ball
349B-16,19-Oct-09,Ralf Souquet,11,Lee Vann Corteza,7,Prelim,2009 US Open 9-Ball
349B-17,19-Oct-09,Ralf Souquet,11,Donnie Mills,10,Prelim,2009 US Open 9-Ball
349B-18,19-Oct-09,Mika Immonen,11,Donnie Mills,10,Semi-Final,2009 US Open 9-Ball
349B-19,19-Oct-09,Mika Immonen,13,Ralf Souqet,10,Final,2009 US Open 9-Ball
339B-01,19-Oct-08,Rodney Morris,11,Danny Harriman,10,Prelim,2008 US Open 9-Ball
339B-02,19-Oct-08,Tony Chohan,11,Chris Bartram,7,Prelim,2008 US Open 9-Ball
339B-03,19-Oct-08,Rodolfo Luat,11,Louis Ulrich,5,Prelim,2008 US Open 9-Ball
339B-04,19-Oct-08,Ramil Gallego,11,Gabe Owen,9,Prelim,2008 US Open 9-Ball
339B-05,19-Oct-08,Shane Van Boening,11,Ernesto Dominguez,7,Prelim,2008 US Open 9-Ball
339B-06,19-Oct-08,Francisco Bustamante,11,Imran Majid,10,Prelim,2008 US Open 9-Ball
339B-07,19-Oct-08,Rodney Morris,11,Earl Strickland,4,Prelim,2008 US Open 9-Ball
339B-08,19-Oct-08,Mika Immonen,11,Nick Varner,6,Prelim,2008 US Open 9-Ball
339B-09,19-Oct-08,Corey Deuel,11,John Schmidt,3,Prelim,2008 US Open 9-Ball
339B-10,19-Oct-08,Jose Parica,11,Shane Van Boening,10,Prelim,2008 US Open 9-Ball
339B-11,19-Oct-08,Ronnie Alcano,11,Lee Vann Corteza,9,Prelim,2008 US Open 9-Ball
339B-12,19-Oct-08,Rodney Morris,11,Thorsten Hohmann,10,Prelim,2008 US Open 9-Ball
339B-13,19-Oct-08,Mika Immonen,11,Johnny Archer,7,Prelim,2008 US Open 9-Ball
339B-14,19-Oct-08,Warren Kiamco,11,Rodney Morris,10,Prelim,2008 US Open 9-Ball
339B-15,19-Oct-08,Ronnie Alcano,11,Mika Immonen,6,Prelim,2008 US Open 9-Ball
339B-16,19-Oct-08,Mika Immonen,11,Warren Kiamco,9,Semi-Final,2008 US Open 9-Ball
339B-17,19-Oct-08,Mika Immonen,13,Ronnie Alcano ,7,Final,2008 US Open 9-Ball
329B-01,14-Oct-07,Shane Van Boening,11,Ronnie Alcano ,4,Prelim,2007 US Open 9-Ball
329B-02,14-Oct-07,Ernesto Dominguez,11,Frankie Hernandez,5,Prelim,2007 US Open 9-Ball
329B-03,14-Oct-07,Tony Robles,11,Rafael Martinez,5,Prelim,2007 US Open 9-Ball
329B-04,14-Oct-07,Louis Ulrich,11,Alex Pagulayan,7,Prelim,2007 US Open 9-Ball
329B-05,14-Oct-07,Francisco Bustamante,11,Richie Orem,4,Prelim,2007 US Open 9-Ball
329B-06,14-Oct-07,Marcus Chamat,11,Daryl Peach ,5,Prelim,2007 US Open 9-Ball
329B-07,14-Oct-07,Lee Vann Corteza,11,Niels Feijen,8,Prelim,2007 US Open 9-Ball
329B-08,14-Oct-07,Jose Parica,11,Francisco Bustamante,7,Prelim,2007 US Open 9-Ball
329B-09,14-Oct-07,Ronnie Alcano,11,Efren Reyes,7,Prelim,2007 US Open 9-Ball
329B-10,14-Oct-07,Shane Van Boening,11,Corey Deuel,8,Prelim,2007 US Open 9-Ball
329B-11,14-Oct-07,Ralf Souquet,11,Johnny Archer,2,Prelim,2007 US Open 9-Ball
329B-12,14-Oct-07,Shane Van Boening,11,Tomoki Mekari,9,Prelim,2007 US Open 9-Ball
329B-13,14-Oct-07,Ronnie Alcano,11,Tomoki Mekari,5,Semi-Final,2007 US Open 9-Ball
329B-14,14-Oct-07,Shane Van Boening,13,Ronnie Alcano ,10,Final,2007 US Open 9-Ball
