matchIndex,playerA,playerB,playerARacks,playerBRacks,date,competition
284,Massimiliano Corso,Marco Daniel Mucci,9,4,22-Mar-19,2019 Mezz Bucharest Open
285,Andrea Cianciaruso,Kadir Korkmaz,1,9,22-Mar-19,2019 Mezz Bucharest Open
286,Cristi Cristoiu,Ilias Christou,3,9,22-Mar-19,2019 Mezz Bucharest Open
287,Vladimir Babic,Oguzhan Curebal,6,9,22-Mar-19,2019 Mezz Bucharest Open
288,Stefanel Nelu Boaca,Menelaos Lolas,8,9,22-Mar-19,2019 Mezz Bucharest Open
289,Cristi Ciucas,Nicu Purcaru,9,2,22-Mar-19,2019 Mezz Bucharest Open
290,Vahdet Emre Varlik,Bogdan Bogorin,6,9,22-Mar-19,2019 Mezz Bucharest Open
291,Eugen Leonte,Damianos Giallourakis,1,9,22-Mar-19,2019 Mezz Bucharest Open
292,Olivier Mortier,Nickolay Vlashev,9,4,22-Mar-19,2019 Mezz Bucharest Open
293,Panagiotis Atmatzoglou,Tommie Yates,1,9,22-Mar-19,2019 Mezz Bucharest Open
294,Michal Czajkowski,Elvis Mladinescu,7,9,22-Mar-19,2019 Mezz Bucharest Open
295,Valentin Dinu,Dejan Stankovic,1,9,22-Mar-19,2019 Mezz Bucharest Open
296,Bora Anar,Kaan Duran,9,7,22-Mar-19,2019 Mezz Bucharest Open
297,Ovidiu Cristea,Georgi Georgiev,9,8,22-Mar-19,2019 Mezz Bucharest Open
298,Gabriel Roberto Gheorghita,Dan Cristea,3,9,22-Mar-19,2019 Mezz Bucharest Open
299,Armen Tabakovic,Davy Piergiovanni,6,9,22-Mar-19,2019 Mezz Bucharest Open
300,Luca Nicoletti,Jan Van Lierop,6,9,22-Mar-19,2019 Mezz Bucharest Open
301,Murat Teker,Tony Drago,6,9,22-Mar-19,2019 Mezz Bucharest Open
302,Catalin Bargaoanu,David Márquez Avila,7,9,22-Mar-19,2019 Mezz Bucharest Open
303,Ioannis Kavouras,Daniel Silva,9,6,22-Mar-19,2019 Mezz Bucharest Open
304,Mario Valchev,Savga Serghei,9,1,22-Mar-19,2019 Mezz Bucharest Open
305,Stevan Radenkovic,Dan Ursu,3,9,22-Mar-19,2019 Mezz Bucharest Open
306,Tudor Spulber,Alexandru Dobrin,8,9,22-Mar-19,2019 Mezz Bucharest Open
307,Darko Ilic,Alex Montpellier,6,9,22-Mar-19,2019 Mezz Bucharest Open
308,Aleksandar Filipovi?,Johan Palé,2,9,22-Mar-19,2019 Mezz Bucharest Open
309,Iliyan Kiryakov,Cezary Jarosz,1,9,22-Mar-19,2019 Mezz Bucharest Open
310,Kostas Koukiadakis,Arkadiusz Giernalczyk,9,8,22-Mar-19,2019 Mezz Bucharest Open
311,Sakis Lainas,Wojciech Szewczyk,2,9,22-Mar-19,2019 Mezz Bucharest Open
312,Micha? Muklewicz,Antonis Vourthis,9,6,22-Mar-19,2019 Mezz Bucharest Open
313,Marcus Chamat,Karabiyik Aygün,9,0,22-Mar-19,2019 Mezz Bucharest Open
314,Olivér Szolnoki,Jeppe Thyde,9,3,22-Mar-19,2019 Mezz Bucharest Open
315,Sanjin Pehlivanovic,Mustafa Alnar,9,0,22-Mar-19,2019 Mezz Bucharest Open
316,Eklent Kaci,Aleksandar Zeljkovic,9,1,22-Mar-19,2019 Mezz Bucharest Open
317,Aleksa Pecelj,Arjan Matrizi,9,3,22-Mar-19,2019 Mezz Bucharest Open
318,Ralf Souquet,Dilian Tiklev,9,4,22-Mar-19,2019 Mezz Bucharest Open
319,Ekonomopoulos Nick,Ivaylo Simeonov,9,5,22-Mar-19,2019 Mezz Bucharest Open
320,Jayson Shaw,Almin Dervisevic,9,2,22-Mar-19,2019 Mezz Bucharest Open
321,Ioan Ladanyi,Daniel Kandi,9,0,22-Mar-19,2019 Mezz Bucharest Open
322,Mark Gray,Uorsin Candrian,9,0,22-Mar-19,2019 Mezz Bucharest Open
323,Malaj Nick,Iacob Mihai Daniel,9,7,22-Mar-19,2019 Mezz Bucharest Open
324,Fedor Gorst,Konrad Piekarski,9,3,22-Mar-19,2019 Mezz Bucharest Open
325,Babken Melkonyan,Chouliaras Konstantinos,9,7,22-Mar-19,2019 Mezz Bucharest Open
326,Ruslan Chinakhov,Osman Sanlisoy,5,9,22-Mar-19,2019 Mezz Bucharest Open
327,Mario He,Anthony Brabin,9,6,22-Mar-19,2019 Mezz Bucharest Open
328,Alexander Kazakis,Gîndac Ciprian Gabriel,7,9,22-Mar-19,2019 Mezz Bucharest Open
329,Daniel Macio?,Mesut Açan,9,2,22-Mar-19,2019 Mezz Bucharest Open
330,Jakub Koniar,Luka Rasevic,9,3,22-Mar-19,2019 Mezz Bucharest Open
331,Ivar Saris,Ronald Mijatovic,9,6,22-Mar-19,2019 Mezz Bucharest Open
332,Denis Grabe,Chatoupis Nick,9,3,22-Mar-19,2019 Mezz Bucharest Open
333,Zoran Svilar,Stanimir Ruslanov,8,9,22-Mar-19,2019 Mezz Bucharest Open
334,Albin Ouschan,Gerasimos Trivyzas,9,3,22-Mar-19,2019 Mezz Bucharest Open
335,Petri Makkonen,Johannes Geihe,9,5,22-Mar-19,2019 Mezz Bucharest Open
336,Niels Feijen,Christoffer Lentz,9,7,22-Mar-19,2019 Mezz Bucharest Open
337,Toni Judet,Mehmet Bakici,7,9,22-Mar-19,2019 Mezz Bucharest Open
338,Marc Bijsterbosch,Ionut Ciobanu,9,1,22-Mar-19,2019 Mezz Bucharest Open
339,Trif Alexandru Claudiu,Harun Erbey,6,9,22-Mar-19,2019 Mezz Bucharest Open
340,Shane Van Boening,Kakaris Antonis,9,2,22-Mar-19,2019 Mezz Bucharest Open
341,Dimitris Loukatos,Christoph Marien,9,4,22-Mar-19,2019 Mezz Bucharest Open
342,Wiktor Zielinski,Sergiu Voicu,9,5,22-Mar-19,2019 Mezz Bucharest Open
343,Chris Alexander,Andrea Milioli,9,6,22-Mar-19,2019 Mezz Bucharest Open
344,Ioan Claudiu Mihalache,Ferdi Özdemir,6,9,22-Mar-19,2019 Mezz Bucharest Open
345,Kristiyan Spasov,Onur Yildirim,4,9,22-Mar-19,2019 Mezz Bucharest Open
346,Rich Fulwell,Matija Obradovic,5,9,22-Mar-19,2019 Mezz Bucharest Open
347,John Tsirimokos,Alexandru Cotescu,9,5,22-Mar-19,2019 Mezz Bucharest Open
348,Cristian Surdea,Imran Majid,2,9,22-Mar-19,2019 Mezz Bucharest Open
349,Rico Diks,Edmond Zaja,9,7,22-Mar-19,2019 Mezz Bucharest Open
350,Thanasis Arguropoulos,Georgiou Lefteris,2,9,22-Mar-19,2019 Mezz Bucharest Open
351,Traian Marinca,Dan Afriat,9,3,22-Mar-19,2019 Mezz Bucharest Open
352,Aris Çakiris,Kulcear Bela,9,8,22-Mar-19,2019 Mezz Bucharest Open
353,Cocolin Adi,George Kampourlidis,9,4,22-Mar-19,2019 Mezz Bucharest Open
354,Vangelis Gremos,Andrei Panghea,9,6,22-Mar-19,2019 Mezz Bucharest Open
355,Anders Edvardsson,Ates Bora Duru,9,6,22-Mar-19,2019 Mezz Bucharest Open
356,Costin Neaga,Evangelos Vlachos,9,7,22-Mar-19,2019 Mezz Bucharest Open
357,Mihai Alexandru Neacsu,Tim Jonkman,2,9,22-Mar-19,2019 Mezz Bucharest Open
358,Albert Gabos,Spasian Spasov,8,9,22-Mar-19,2019 Mezz Bucharest Open
359,Gianluca Cappella,Dejan Sipkovski,5,9,22-Mar-19,2019 Mezz Bucharest Open
360,Erol Kayas,Costas Konnaris,7,9,22-Mar-19,2019 Mezz Bucharest Open
361,Kercso Zoltan,Dragos Lucian Lucaniuc,9,7,22-Mar-19,2019 Mezz Bucharest Open
362,Massimiliano Corso,Kadir Korkmaz,9,3,22-Mar-19,2019 Mezz Bucharest Open
363,Ilias Christou,Oguzhan Curebal,8,9,22-Mar-19,2019 Mezz Bucharest Open
364,Menelaos Lolas,Cristi Ciucas,9,6,22-Mar-19,2019 Mezz Bucharest Open
365,Bogdan Bogorin,Damianos Giallourakis,0,9,22-Mar-19,2019 Mezz Bucharest Open
366,Olivier Mortier,Tommie Yates,9,6,22-Mar-19,2019 Mezz Bucharest Open
367,Elvis Mladinescu,Dejan Stankovic,9,7,22-Mar-19,2019 Mezz Bucharest Open
368,Bora Anar,Ovidiu Cristea,8,9,22-Mar-19,2019 Mezz Bucharest Open
369,Dan Cristea,Davy Piergiovanni,4,9,22-Mar-19,2019 Mezz Bucharest Open
370,Jan Van Lierop,Tony Drago,5,9,22-Mar-19,2019 Mezz Bucharest Open
371,David Márquez Avila,Ioannis Kavouras,9,8,22-Mar-19,2019 Mezz Bucharest Open
372,Mario Valchev,Dan Ursu,6,9,22-Mar-19,2019 Mezz Bucharest Open
373,Alexandru Dobrin,Alex Montpellier,3,9,22-Mar-19,2019 Mezz Bucharest Open
374,Johan Palé,Cezary Jarosz,3,9,22-Mar-19,2019 Mezz Bucharest Open
375,Kostas Koukiadakis,Wojciech Szewczyk,8,9,22-Mar-19,2019 Mezz Bucharest Open
376,Ferdi Özdemir,Anthony Brabin,3,9,22-Mar-19,2019 Mezz Bucharest Open
377,Onur Yildirim,Ruslan Chinakhov,9,4,22-Mar-19,2019 Mezz Bucharest Open
378,Matija Obradovic,Chouliaras Konstantinos,2,9,22-Mar-19,2019 Mezz Bucharest Open
379,John Tsirimokos,Konrad Piekarski,4,9,22-Mar-19,2019 Mezz Bucharest Open
380,Imran Majid,Iacob Mihai Daniel,9,2,22-Mar-19,2019 Mezz Bucharest Open
381,Rico Diks,Uorsin Candrian,9,5,22-Mar-19,2019 Mezz Bucharest Open
382,Georgiou Lefteris,Daniel Kandi,9,4,22-Mar-19,2019 Mezz Bucharest Open
383,Traian Marinca,Almin Dervisevic,9,8,22-Mar-19,2019 Mezz Bucharest Open
384,Aris Çakiris,Ivaylo Simeonov,8,9,22-Mar-19,2019 Mezz Bucharest Open
385,Cocolin Adi,Dilian Tiklev,4,9,22-Mar-19,2019 Mezz Bucharest Open
386,Vangelis Gremos,Arjan Matrizi,4,9,22-Mar-19,2019 Mezz Bucharest Open
387,Anders Edvardsson,Aleksandar Zeljkovic,9,4,22-Mar-19,2019 Mezz Bucharest Open
388,Costin Neaga,Mustafa Alnar,3,9,22-Mar-19,2019 Mezz Bucharest Open
389,Tim Jonkman,Jeppe Thyde,9,6,22-Mar-19,2019 Mezz Bucharest Open
390,Spasian Spasov,Karabiyik Aygün,8,9,22-Mar-19,2019 Mezz Bucharest Open
391,Dejan Sipkovski,Antonis Vourthis,6,9,22-Mar-19,2019 Mezz Bucharest Open
392,Costas Konnaris,Andrea Milioli,8,9,22-Mar-19,2019 Mezz Bucharest Open
393,Kercso Zoltan,Sergiu Voicu,5,9,22-Mar-19,2019 Mezz Bucharest Open
394,Massimiliano Corso,Christoph Marien,9,8,22-Mar-19,2019 Mezz Bucharest Open
395,Oguzhan Curebal,Kakaris Antonis,8,9,22-Mar-19,2019 Mezz Bucharest Open
396,Menelaos Lolas,Trif Alexandru Claudiu,4,9,22-Mar-19,2019 Mezz Bucharest Open
397,Damianos Giallourakis,Ionut Ciobanu,9,3,22-Mar-19,2019 Mezz Bucharest Open
398,Olivier Mortier,Toni Judet,8,9,22-Mar-19,2019 Mezz Bucharest Open
399,Elvis Mladinescu,Christoffer Lentz,9,5,22-Mar-19,2019 Mezz Bucharest Open
400,Ovidiu Cristea,Johannes Geihe,9,7,22-Mar-19,2019 Mezz Bucharest Open
401,Davy Piergiovanni,Gerasimos Trivyzas,9,6,22-Mar-19,2019 Mezz Bucharest Open
402,Tony Drago,Zoran Svilar,8,9,22-Mar-19,2019 Mezz Bucharest Open
403,David Márquez Avila,Chatoupis Nick,7,9,22-Mar-19,2019 Mezz Bucharest Open
404,Dan Ursu,Ronald Mijatovic,9,4,22-Mar-19,2019 Mezz Bucharest Open
405,Alex Montpellier,Luka Rasevic,9,1,22-Mar-19,2019 Mezz Bucharest Open
406,Cezary Jarosz,Mesut Açan,9,8,22-Mar-19,2019 Mezz Bucharest Open
407,Wojciech Szewczyk,Alexander Kazakis,9,7,22-Mar-19,2019 Mezz Bucharest Open
408,Micha? Muklewicz,Marcus Chamat,9,7,22-Mar-19,2019 Mezz Bucharest Open
409,Olivér Szolnoki,Sanjin Pehlivanovic,4,9,22-Mar-19,2019 Mezz Bucharest Open
410,Eklent Kaci,Aleksa Pecelj,9,3,22-Mar-19,2019 Mezz Bucharest Open
411,Ralf Souquet,Ekonomopoulos Nick,9,5,22-Mar-19,2019 Mezz Bucharest Open
412,Jayson Shaw,Ioan Ladanyi,8,9,22-Mar-19,2019 Mezz Bucharest Open
413,Mark Gray,Malaj Nick,9,8,22-Mar-19,2019 Mezz Bucharest Open
414,Fedor Gorst,Babken Melkonyan,8,9,22-Mar-19,2019 Mezz Bucharest Open
415,Osman Sanlisoy,Mario He,8,9,22-Mar-19,2019 Mezz Bucharest Open
416,Gîndac Ciprian Gabriel,Daniel Macio?,2,9,22-Mar-19,2019 Mezz Bucharest Open
417,Jakub Koniar,Ivar Saris,9,6,22-Mar-19,2019 Mezz Bucharest Open
418,Denis Grabe,Stanimir Ruslanov,9,8,22-Mar-19,2019 Mezz Bucharest Open
419,Albin Ouschan,Petri Makkonen,9,6,22-Mar-19,2019 Mezz Bucharest Open
420,Niels Feijen,Mehmet Bakici,9,7,22-Mar-19,2019 Mezz Bucharest Open
421,Marc Bijsterbosch,Harun Erbey,9,2,22-Mar-19,2019 Mezz Bucharest Open
422,Shane Van Boening,Dimitris Loukatos,9,6,22-Mar-19,2019 Mezz Bucharest Open
423,Wiktor Zielinski,Chris Alexander,9,1,22-Mar-19,2019 Mezz Bucharest Open
424,Anthony Brabin,Onur Yildirim,9,8,22-Mar-19,2019 Mezz Bucharest Open
425,Chouliaras Konstantinos,Konrad Piekarski,7,9,22-Mar-19,2019 Mezz Bucharest Open
426,Imran Majid,Rico Diks,9,8,22-Mar-19,2019 Mezz Bucharest Open
427,Georgiou Lefteris,Traian Marinca,9,5,22-Mar-19,2019 Mezz Bucharest Open
428,Ivaylo Simeonov,Dilian Tiklev,4,9,22-Mar-19,2019 Mezz Bucharest Open
429,Arjan Matrizi,Anders Edvardsson,9,0,22-Mar-19,2019 Mezz Bucharest Open
430,Mustafa Alnar,Tim Jonkman,9,7,22-Mar-19,2019 Mezz Bucharest Open
431,Karabiyik Aygün,Antonis Vourthis,7,9,22-Mar-19,2019 Mezz Bucharest Open
432,Andrea Milioli,Sergiu Voicu,9,6,22-Mar-19,2019 Mezz Bucharest Open
433,Massimiliano Corso,Kakaris Antonis,5,9,22-Mar-19,2019 Mezz Bucharest Open
434,Trif Alexandru Claudiu,Damianos Giallourakis,8,9,22-Mar-19,2019 Mezz Bucharest Open
435,Toni Judet,Elvis Mladinescu,9,4,22-Mar-19,2019 Mezz Bucharest Open
436,Ovidiu Cristea,Davy Piergiovanni,9,6,22-Mar-19,2019 Mezz Bucharest Open
437,Zoran Svilar,Chatoupis Nick,2,9,22-Mar-19,2019 Mezz Bucharest Open
438,Dan Ursu,Alex Montpellier,3,9,22-Mar-19,2019 Mezz Bucharest Open
439,Cezary Jarosz,Wojciech Szewczyk,4,9,22-Mar-19,2019 Mezz Bucharest Open
440,Anthony Brabin,Gîndac Ciprian Gabriel,7,9,22-Mar-19,2019 Mezz Bucharest Open
441,Konrad Piekarski,Ivar Saris,8,9,22-Mar-19,2019 Mezz Bucharest Open
442,Imran Majid,Stanimir Ruslanov,9,6,22-Mar-19,2019 Mezz Bucharest Open
443,Georgiou Lefteris,Petri Makkonen,0,1,22-Mar-19,2019 Mezz Bucharest Open
444,Dilian Tiklev,Mehmet Bakici,3,9,22-Mar-19,2019 Mezz Bucharest Open
445,Arjan Matrizi,Harun Erbey,9,6,22-Mar-19,2019 Mezz Bucharest Open
446,Mustafa Alnar,Dimitris Loukatos,3,9,22-Mar-19,2019 Mezz Bucharest Open
447,Antonis Vourthis,Chris Alexander,7,9,22-Mar-19,2019 Mezz Bucharest Open
448,Andrea Milioli,Marcus Chamat,3,9,22-Mar-19,2019 Mezz Bucharest Open
449,Kakaris Antonis,Olivér Szolnoki,8,9,22-Mar-19,2019 Mezz Bucharest Open
450,Damianos Giallourakis,Aleksa Pecelj,9,5,22-Mar-19,2019 Mezz Bucharest Open
451,Toni Judet,Ekonomopoulos Nick,5,9,22-Mar-19,2019 Mezz Bucharest Open
452,Ovidiu Cristea,Jayson Shaw,4,9,22-Mar-19,2019 Mezz Bucharest Open
453,Chatoupis Nick,Malaj Nick,5,9,22-Mar-19,2019 Mezz Bucharest Open
454,Alex Montpellier,Fedor Gorst,8,9,22-Mar-19,2019 Mezz Bucharest Open
455,Wojciech Szewczyk,Osman Sanlisoy,9,4,22-Mar-19,2019 Mezz Bucharest Open
456,Micha? Muklewicz,Damianos Giallourakis,2,10,22-Mar-19,2019 Mezz Bucharest Open
457,Sanjin Pehlivanovic,Marcus Chamat,6,10,22-Mar-19,2019 Mezz Bucharest Open
458,Eklent Kaci,Mehmet Bakici,10,4,22-Mar-19,2019 Mezz Bucharest Open
459,Ralf Souquet,Chris Alexander,10,5,22-Mar-19,2019 Mezz Bucharest Open
460,Ioan Ladanyi,Petri Makkonen,2,10,22-Mar-19,2019 Mezz Bucharest Open
461,Mark Gray,Arjan Matrizi,10,7,22-Mar-19,2019 Mezz Bucharest Open
462,Babken Melkonyan,Jayson Shaw,7,10,22-Mar-19,2019 Mezz Bucharest Open
463,Mario He,Imran Majid,10,9,22-Mar-19,2019 Mezz Bucharest Open
464,Daniel Macio?,Dimitris Loukatos,10,2,22-Mar-19,2019 Mezz Bucharest Open
465,Jakub Koniar,Gindac Ciprian Gabriel,10,3,22-Mar-19,2019 Mezz Bucharest Open
466,Denis Grabe,Wojciech Szewczyk,6,10,22-Mar-19,2019 Mezz Bucharest Open
467,Albin Ouschan,Ekonomopoulos Nick,10,9,22-Mar-19,2019 Mezz Bucharest Open
468,Niels Feijen,Ivar Saris,10,4,22-Mar-19,2019 Mezz Bucharest Open
469,Marc Bijsterbosch,Fedor Gorst,6,10,22-Mar-19,2019 Mezz Bucharest Open
470,Shane Van Boening,Olivér Szolnoki,10,9,22-Mar-19,2019 Mezz Bucharest Open
471,Wiktor Zielinski,Malaj Nick,10,5,22-Mar-19,2019 Mezz Bucharest Open
472,Damianos Giallourakis,Marcus Chamat,10,9,22-Mar-19,2019 Mezz Bucharest Open
473,Eklent Kaci,Ralf Souquet,10,8,22-Mar-19,2019 Mezz Bucharest Open
474,Petri Makkonen,Mark Gray,9,10,22-Mar-19,2019 Mezz Bucharest Open
475,Jayson Shaw,Mario He,10,4,22-Mar-19,2019 Mezz Bucharest Open
476,Daniel Macio?,Jakub Koniar,6,10,22-Mar-19,2019 Mezz Bucharest Open
477,Wojciech Szewczyk,Albin Ouschan,10,4,22-Mar-19,2019 Mezz Bucharest Open
478,Niels Feijen,Fedor Gorst,5,10,22-Mar-19,2019 Mezz Bucharest Open
479,Shane Van Boening,Wiktor Zielinski,10,9,22-Mar-19,2019 Mezz Bucharest Open
480,Damianos Giallourakis,Eklent Kaci,10,5,22-Mar-19,2019 Mezz Bucharest Open
481,Mark Gray,Jayson Shaw,6,10,22-Mar-19,2019 Mezz Bucharest Open
482,Jakub Koniar,Wojciech Szewczyk,10,9,22-Mar-19,2019 Mezz Bucharest Open
483,Fedor Gorst,Shane Van Boening,10,5,22-Mar-19,2019 Mezz Bucharest Open
484,Damianos Giallourakis,Jayson Shaw,6,10,22-Mar-19,2019 Mezz Bucharest Open
485,Jakub Koniar,Fedor Gorst,4,11,22-Mar-19,2019 Mezz Bucharest Open
486,Jayson Shaw,Fedor Gorst,9,10,22-Mar-19,2019 Mezz Bucharest Open
