matchIndex,playerA,playerB,playerARacks,playerBRacks,date,competition
65,Dejan Sipkovski,Cristian Oprea,9,5,22-Mar-19,2019 Mezz Bucharest Open
66,Gîndac Ciprian Gabriel,Costas Konnaris,9,4,22-Mar-19,2019 Mezz Bucharest Open
67,Maican Raul,Angelo Salzano,6,9,22-Mar-19,2019 Mezz Bucharest Open
68,Daniel Macio?,Idd Gaetan Poelman,9,1,22-Mar-19,2019 Mezz Bucharest Open
69,Voiculescu Ciprian,Marian Apostol,4,9,22-Mar-19,2019 Mezz Bucharest Open
70,Albert Gabos,Razvan Florea,9,7,22-Mar-19,2019 Mezz Bucharest Open
71,Mesut Açan,Bogdan Nechifor,9,2,22-Mar-19,2019 Mezz Bucharest Open
72,Jakub Koniar,Massimiliano Corso,9,2,22-Mar-19,2019 Mezz Bucharest Open
73,Thomas Charmantzis,Gabriel Sera,9,6,22-Mar-19,2019 Mezz Bucharest Open
74,Luka Rasevic,Andrea Cianciaruso,9,3,22-Mar-19,2019 Mezz Bucharest Open
75,Furkan Sahin,Tal Frank,9,4,22-Mar-19,2019 Mezz Bucharest Open
76,Ivar Saris,Cristi Cristoiu,9,0,22-Mar-19,2019 Mezz Bucharest Open
77,Gelu Zah,Evren Kaya,9,5,22-Mar-19,2019 Mezz Bucharest Open
78,Wim Scrayen,Vladimir Babic,9,6,22-Mar-19,2019 Mezz Bucharest Open
79,Ronald Mijatovic,Radulescu Dragos,9,2,22-Mar-19,2019 Mezz Bucharest Open
80,Denis Grabe,Stefanel Nelu Boaca,9,1,22-Mar-19,2019 Mezz Bucharest Open
81,Gabriel Syarov,Bogdan Alin Stoian,9,2,22-Mar-19,2019 Mezz Bucharest Open
82,Chatoupis Nick,Sebastian Mihai Ionita,9,3,22-Mar-19,2019 Mezz Bucharest Open
83,Anders Edvardsson,Cristi Ciucas,9,6,22-Mar-19,2019 Mezz Bucharest Open
84,Zoran Svilar,Vahdet Emre Varlik,9,1,22-Mar-19,2019 Mezz Bucharest Open
85,Mihai Alexandru,Zoran Krstic,9,5,22-Mar-19,2019 Mezz Bucharest Open
86,Anastasiei Alin-florin,David Avakiani,9,6,22-Mar-19,2019 Mezz Bucharest Open
87,Stanimir Ruslanov,Eugen Leonte,9,4,22-Mar-19,2019 Mezz Bucharest Open
88,Albin Ouschan,Yorben Vervondel,9,6,22-Mar-19,2019 Mezz Bucharest Open
89,Olivier Mortier,George Kampourlidis,1,9,22-Mar-19,2019 Mezz Bucharest Open
90,Panagiotis Atmatzoglou,Andrei Cristian Ionescu,3,9,22-Mar-19,2019 Mezz Bucharest Open
91,Gerasimos Trivyzas,Alecu Albert,9,3,22-Mar-19,2019 Mezz Bucharest Open
92,Petri Makkonen,Michal Czajkowski,9,0,22-Mar-19,2019 Mezz Bucharest Open
93,Kulcear Bela,Giorgi Gogishvili,9,3,22-Mar-19,2019 Mezz Bucharest Open
94,Aris Çakiris,Jovan Babovic,9,5,22-Mar-19,2019 Mezz Bucharest Open
95,Valentin Dinu,Johannes Geihe,4,9,22-Mar-19,2019 Mezz Bucharest Open
96,Niels Feijen,Bora Anar,9,1,22-Mar-19,2019 Mezz Bucharest Open
97,Dan Afriat,Galgau Daniel,9,4,22-Mar-19,2019 Mezz Bucharest Open
98,Traian Marinca,Ovidiu Cristea,9,8,22-Mar-19,2019 Mezz Bucharest Open
99,Georgiou Lefteris,Zapryan Zapryanov,9,1,22-Mar-19,2019 Mezz Bucharest Open
100,Toni Judet,Gabriel Roberto Gheorghita,9,2,22-Mar-19,2019 Mezz Bucharest Open
101,Armen Tabakovic,Stefan Danescu,2,9,22-Mar-19,2019 Mezz Bucharest Open
102,Mehmet Bakici,Alexandru Chiriac,9,6,22-Mar-19,2019 Mezz Bucharest Open
103,Marc Bijsterbosch,Luca Nicoletti,9,4,22-Mar-19,2019 Mezz Bucharest Open
104,Volosciuc Corneliu,Edmond Zaja,2,9,22-Mar-19,2019 Mezz Bucharest Open
105,Balasica Cristian,Ionut Ciobanu,7,9,22-Mar-19,2019 Mezz Bucharest Open
106,Rico Diks,Murat Teker,9,3,22-Mar-19,2019 Mezz Bucharest Open
107,Imran Majid,Sonia Simionov,9,3,22-Mar-19,2019 Mezz Bucharest Open
108,Trif Alexandru Claudiu,Catalin Bargaoanu,9,4,22-Mar-19,2019 Mezz Bucharest Open
109,Vladica Brkovic,Cristian Surdea,5,9,22-Mar-19,2019 Mezz Bucharest Open
110,Harun Erbey,Ioannis Kavouras,9,5,22-Mar-19,2019 Mezz Bucharest Open
111,Shane Van Boening,Mario Valchev,9,4,22-Mar-19,2019 Mezz Bucharest Open
112,Gener Amet,Alexandru Cotescu,3,9,22-Mar-19,2019 Mezz Bucharest Open
113,Aleksi Almasia,Kakaris Antonis,2,9,22-Mar-19,2019 Mezz Bucharest Open
114,Mario Toader,Stevan Radenkovic,9,6,22-Mar-19,2019 Mezz Bucharest Open
115,Dimitris Loukatos,Jalba Gabriel,9,1,22-Mar-19,2019 Mezz Bucharest Open
116,Marius Blaj,Tudor Spulber,9,1,22-Mar-19,2019 Mezz Bucharest Open
