,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Mazen Berjuai,Jeong Young-hwa,1,9,1,2016-06-30,2016 WPA World 9-Ball Championship
1,Waleed Majid,Mario He,4,9,2,2016-06-30,2016 WPA World 9-Ball Championship
2,Mohamed Elraousti,Mazen Berjuai,3,9,3,2016-06-30,2016 WPA World 9-Ball Championship
3,Shahbaz Adil Khan,Waleed Majid,7,9,4,2016-06-30,2016 WPA World 9-Ball Championship
4,Ko Pin-yi,Mohamed Elraousti,9,1,5,2016-06-30,2016 WPA World 9-Ball Championship
5,Mazen Berjuai,Mario He,5,9,6,2016-06-30,2016 WPA World 9-Ball Championship
6,Shahbaz Adil Khan,Thorsten Hohmann,4,9,7,2016-06-30,2016 WPA World 9-Ball Championship
7,Jeong Young-hwa,Waleed Majid,9,5,8,2016-06-30,2016 WPA World 9-Ball Championship
8,Ko Pin-yi,Mario He,9,5,9,2016-06-30,2016 WPA World 9-Ball Championship
9,Thorsten Hohmann,Jeong Young-hwa,9,7,10,2016-06-30,2016 WPA World 9-Ball Championship
10,Karol Skowerski,Petri Makkonen,9,6,11,2016-06-30,2016 WPA World 9-Ball Championship
11,Francis Crevier,Jeffrey Ignacio,7,9,12,2016-06-30,2016 WPA World 9-Ball Championship
12,Lo Ho Sum,Karol Skowerski,5,9,13,2016-06-30,2016 WPA World 9-Ball Championship
13,Abdul Aziz Alawadhi,Francis Crevier,2,9,14,2016-06-30,2016 WPA World 9-Ball Championship
14,Chang Jung-Lin,Lo Ho Sum,9,5,15,2016-06-30,2016 WPA World 9-Ball Championship
15,Jeffrey Ignacio,Karol Skowerski,9,4,16,2016-06-30,2016 WPA World 9-Ball Championship
16,Petri Makkonen,Abdul Aziz Alawadhi,9,0,17,2016-06-30,2016 WPA World 9-Ball Championship
17,Francis Crevier,Johann Chua,8,9,18,2016-06-30,2016 WPA World 9-Ball Championship
18,Chang Jung-Lin,Jeffrey Ignacio,9,7,19,2016-06-30,2016 WPA World 9-Ball Championship
19,Petri Makkonen,Johann Chua,4,9,20,2016-06-30,2016 WPA World 9-Ball Championship
20,Bruno Muratore,MD Almin,8,9,21,2016-06-30,2016 WPA World 9-Ball Championship
21,Omar al-Shaheen,Darren Appleton,9,5,22,2016-06-30,2016 WPA World 9-Ball Championship
22,Bruno Muratore,Henrique Correia,9,5,23,2016-06-30,2016 WPA World 9-Ball Championship
23,Marcus Chamat,Omar al-Shaheen,4,9,24,2016-06-30,2016 WPA World 9-Ball Championship
24,Darren Appleton,Bruno Muratore,9,4,25,2016-06-30,2016 WPA World 9-Ball Championship
25,Chu Hong-ming,Henrique Correia,9,2,26,2016-06-30,2016 WPA World 9-Ball Championship
26,MD Almin,Marcus Chamat,9,4,27,2016-06-30,2016 WPA World 9-Ball Championship
27,Omar al-Shaheen,Ruslan Chinachov,4,9,28,2016-06-30,2016 WPA World 9-Ball Championship
28,Darren Appleton,Chu Hong-ming,6,9,29,2016-06-30,2016 WPA World 9-Ball Championship
29,MD Almin,Ruslan Chinachov,4,9,30,2016-06-30,2016 WPA World 9-Ball Championship
30,Daryl Peach,Antonio Gabica,9,7,31,2016-06-30,2016 WPA World 9-Ball Championship
31,Roberto Gomez,Christopher Tevez,9,3,32,2016-06-30,2016 WPA World 9-Ball Championship
32,Aloysius Yapp,Daryl Peach,5,9,33,2016-06-30,2016 WPA World 9-Ball Championship
33,Mohannad al-Ghumayz,Roberto Gomez,2,9,34,2016-06-30,2016 WPA World 9-Ball Championship
34,Aloysius Yapp,Francisco Sánchez Ruíz,8,9,35,2016-06-30,2016 WPA World 9-Ball Championship
35,Daryl Peach,Christopher Tevez,6,9,36,2016-06-30,2016 WPA World 9-Ball Championship
36,Mohannad al-Ghumayz,Antonio Gabica,7,9,37,2016-06-30,2016 WPA World 9-Ball Championship
37,Roberto Gomez,Albin Ouschan,6,9,38,2016-06-30,2016 WPA World 9-Ball Championship
38,Francisco Sánchez Ruíz,Christopher Tevez,9,5,39,2016-06-30,2016 WPA World 9-Ball Championship
39,Antonio Gabica,Albin Ouschan,8,9,40,2016-06-30,2016 WPA World 9-Ball Championship
40,Artem Koshovyi,Lương Chí Dũng,9,8,41,2016-06-30,2016 WPA World 9-Ball Championship
41,Yang Ching-shun,John Morra,9,6,42,2016-06-30,2016 WPA World 9-Ball Championship
42,Artem Koshovyi,Aoki Ryoji,9,8,43,2016-06-30,2016 WPA World 9-Ball Championship
43,Mohammad al-Kashawi,Yang Ching-shun,4,9,44,2016-06-30,2016 WPA World 9-Ball Championship
44,John Morra,Artem Koshovyi,9,5,45,2016-06-30,2016 WPA World 9-Ball Championship
45,Zhou Long,Aoki Ryoji,9,2,46,2016-06-30,2016 WPA World 9-Ball Championship
46,Alex Pagulayan,Mohammad al-Kashawi,9,5,47,2016-06-30,2016 WPA World 9-Ball Championship
47,Lương Chí Dũng,Yang Ching-shun,9,8,48,2016-06-30,2016 WPA World 9-Ball Championship
48,John Morra,Zhou Long,2,9,49,2016-06-30,2016 WPA World 9-Ball Championship
49,Alex Pagulayan,Lương Chí Dũng,9,4,50,2016-06-30,2016 WPA World 9-Ball Championship
50,Naoyuki Ōi,Jeff de Luna,1,9,51,2016-06-30,2016 WPA World 9-Ball Championship
51,Wang Can,Hamzaa Saeed Ali,7,9,52,2016-06-30,2016 WPA World 9-Ball Championship
52,Mohammed Saeed,Naoyuki Ōi,2,9,53,2016-06-30,2016 WPA World 9-Ball Championship
53,Armin Mahmoudi,Wang Can,7,9,54,2016-06-30,2016 WPA World 9-Ball Championship
54,Karl Boyes,Mohammed Saeed,9,5,55,2016-06-30,2016 WPA World 9-Ball Championship
55,Naoyuki Ōi,Hamzaa Saeed Ali,8,9,56,2016-06-30,2016 WPA World 9-Ball Championship
56,Armin Mahmoudi,Toh Lian Han,5,9,57,2016-06-30,2016 WPA World 9-Ball Championship
57,Jeff de Luna,Wang Can (pool player),9,6,58,2016-06-30,2016 WPA World 9-Ball Championship
58,Karl Boyes,Hamzaa Saeed Ali,9,3,59,2016-06-30,2016 WPA World 9-Ball Championship
59,Toh Lian Han,Jeff de Luna,9,6,60,2016-06-30,2016 WPA World 9-Ball Championship
60,Imran Majid,Irsal Nasution,5,9,61,2016-06-30,2016 WPA World 9-Ball Championship
61,Christian Götemann,Dennis Orcollo,7,9,62,2016-06-30,2016 WPA World 9-Ball Championship
62,Abdullah Karmastaji,Imran Majid,2,9,63,2016-06-30,2016 WPA World 9-Ball Championship
63,Ali Abdulhadi Almeri,Christian Götemann,6,9,64,2016-06-30,2016 WPA World 9-Ball Championship
64,Dennis Orcollo,Abdullah Karmastaji,9,5,65,2016-06-30,2016 WPA World 9-Ball Championship
65,Imran Majid,Ramil Gallego,6,9,66,2016-06-30,2016 WPA World 9-Ball Championship
66,Irsal Nasution,Ali Abdulhadi Almeri,9,2,67,2016-06-30,2016 WPA World 9-Ball Championship
67,Christian Götemann,David Alcaide,4,9,68,2016-06-30,2016 WPA World 9-Ball Championship
68,Dennis Orcollo,Ramil Gallego,4,9,69,2016-06-30,2016 WPA World 9-Ball Championship
69,Irsal Nasution,David Alcaide,8,9,70,2016-06-30,2016 WPA World 9-Ball Championship
70,Konrad Juszczyszyn,Abdul Rahman al-Amar,8,9,71,2016-06-30,2016 WPA World 9-Ball Championship
71,Justin Campbell,Jayson Shaw,7,9,72,2016-06-30,2016 WPA World 9-Ball Championship
72,Konrad Juszczyszyn,Karar Abdulwahed,9,5,73,2016-06-30,2016 WPA World 9-Ball Championship
73,Justin Campbell,Robert Hart,9,2,74,2016-06-30,2016 WPA World 9-Ball Championship
74,Nikos Ekonomopoulos,Konrad Juszczyszyn,9,3,75,2016-06-30,2016 WPA World 9-Ball Championship
75,Jayson Shaw,Karar Abdulwahed,9,3,76,2016-06-30,2016 WPA World 9-Ball Championship
76,Justin Campbell,Abdul Rahman al-Amar,7,9,77,2016-06-30,2016 WPA World 9-Ball Championship
77,Robert Hart,Ko Ping-chung,1,9,78,2016-06-30,2016 WPA World 9-Ball Championship
78,Nikos Ekonomopoulos,Jayson Shaw,9,5,79,2016-06-30,2016 WPA World 9-Ball Championship
79,Abdul Rahman al-Amar,Ko Ping-chung,8,9,80,2016-06-30,2016 WPA World 9-Ball Championship
80,Shaun Wilkie,Niels Feijen,3,9,81,2016-06-30,2016 WPA World 9-Ball Championship
81,Satoshi Kawabata,Jalal Yousef,9,7,82,2016-06-30,2016 WPA World 9-Ball Championship
82,Andrew Kong Bu Hong,Shaun Wilkie,1,9,83,2016-06-30,2016 WPA World 9-Ball Championship
83,Abdul Latif al-Fawal,Satoshi Kawabata,6,9,84,2016-06-30,2016 WPA World 9-Ball Championship
84,Liu Haitao,Andrew Kong Bu Hong,9,6,85,2016-06-30,2016 WPA World 9-Ball Championship
85,Jalal Yousef,Shaun Wilkie,9,6,86,2016-06-30,2016 WPA World 9-Ball Championship
86,Niels Feijen,Abdul Latif al-Fawal,9,3,87,2016-06-30,2016 WPA World 9-Ball Championship
87,Satoshi Kawabata,Alexander Kazakis,7,9,88,2016-06-30,2016 WPA World 9-Ball Championship
88,Liu Haitao,Jalal Yousef,9,1,89,2016-06-30,2016 WPA World 9-Ball Championship
89,Niels Feijen,Alexander Kazakis,6,9,90,2016-06-30,2016 WPA World 9-Ball Championship
90,Hiroshi Takenaka,Ali Maghsoud,7,9,91,2016-06-30,2016 WPA World 9-Ball Championship
91,Mieszko Fortuński,Rubén Bautista,9,5,92,2016-06-30,2016 WPA World 9-Ball Championship
