,playerA,playerB,playerARacks,playerBRacks,matchIndex,date,competition
0,Lefteris Georgiou,Omar Alshaheen,5,4,1,2019-04-12,2019 WPA Players Championship Qualifier 1
1,Gabe Owen,Blake Baker,5,1,2,2019-04-12,2019 WPA Players Championship Qualifier 1
2,Yu-Lung Chang,Ruslan Chinahov,5,4,3,2019-04-12,2019 WPA Players Championship Qualifier 1
3,Chris McDaniel,Max Eberle,3,5,4,2019-04-12,2019 WPA Players Championship Qualifier 1
4,Vilmos Foldes,Manuel Perez,5,2,5,2019-04-12,2019 WPA Players Championship Qualifier 1
5,Lin Da-Li,Ri Teng Liu,2,5,6,2019-04-12,2019 WPA Players Championship Qualifier 1
6,Chris Lawson,Del Smith,2,5,7,2019-04-12,2019 WPA Players Championship Qualifier 1
7,Che-Wei Fu,Daniel Baker,5,0,8,2019-04-12,2019 WPA Players Championship Qualifier 1
8,Ian Costello,Ray Robles II,4,5,9,2019-04-12,2019 WPA Players Championship Qualifier 1
9,Ozzy Reynolds,Sanjin Pehlivanovic,2,5,10,2019-04-12,2019 WPA Players Championship Qualifier 1
10,Kai Lun Hsu,Chris Lulek,5,4,11,2019-04-12,2019 WPA Players Championship Qualifier 1
11,Cheng-Chieh Liu,Ching-Shun Yang,5,2,12,2019-04-12,2019 WPA Players Championship Qualifier 1
12,Raymund Faraon,Chris Mohr,5,1,13,2019-04-12,2019 WPA Players Championship Qualifier 1
13,Jui-An Hsu,Nicholas De Leon,3,5,14,2019-04-12,2019 WPA Players Championship Qualifier 1
14,Vang Bui Xuan,Phuc Long Nguyen,5,2,15,2019-04-12,2019 WPA Players Championship Qualifier 1
15,Kings Santy,Joe Auzenne,5,3,16,2019-04-12,2019 WPA Players Championship Qualifier 1
16,Gary Lutman,Jalal Yousef,3,5,17,2019-04-12,2019 WPA Players Championship Qualifier 1
17,Donny Branson,Ken Thompson,5,0,18,2019-04-12,2019 WPA Players Championship Qualifier 1
18,Jason Merry,Nick Malaj,2,5,19,2019-04-12,2019 WPA Players Championship Qualifier 1
19,Jeffrey Ignacio,Mitch Ellerman,5,3,20,2019-04-12,2019 WPA Players Championship Qualifier 1
20,Mark Todd,Michael Leahy,0,5,21,2019-04-12,2019 WPA Players Championship Qualifier 1
21,Kostas Koukiadakis,Lefteris Georgiou,1,5,22,2019-04-12,2019 WPA Players Championship Qualifier 1
22,James Aranas,Gabe Owen,5,1,23,2019-04-12,2019 WPA Players Championship Qualifier 1
23,Yu-Lung Chang,Max Eberle,1,5,24,2019-04-12,2019 WPA Players Championship Qualifier 1
24,Vilmos Foldes,Ri Teng Liu,2,5,25,2019-04-12,2019 WPA Players Championship Qualifier 1
25,Jeffrey De Luna,Del Smith,5,2,26,2019-04-12,2019 WPA Players Championship Qualifier 1
26,Che-Wei Fu,Lenny Rakers,5,0,27,2019-04-12,2019 WPA Players Championship Qualifier 1
27,Szu-Ting Kuo,Ray Robles II,5,3,28,2019-04-12,2019 WPA Players Championship Qualifier 1
28,Sanjin Pehlivanovic,Kai Lun Hsu,1,5,29,2019-04-12,2019 WPA Players Championship Qualifier 1
29,Marc Vidal Claramunt,Cheng-Chieh Liu,3,5,30,2019-04-12,2019 WPA Players Championship Qualifier 1
30,Konrad Piekarski,Raymund Faraon,4,5,31,2019-04-12,2019 WPA Players Championship Qualifier 1
31,Dean Goddard,Nicholas De Leon,1,5,32,2019-04-12,2019 WPA Players Championship Qualifier 1
32,Vang Bui Xuan,Kings Santy,5,0,33,2019-04-12,2019 WPA Players Championship Qualifier 1
33,Mike Hutcheson,Jalal Yousef,0,5,34,2019-04-12,2019 WPA Players Championship Qualifier 1
34,Donny Branson,Nick Malaj,5,3,35,2019-04-12,2019 WPA Players Championship Qualifier 1
35,Luu Minh Phuc,Jeffrey Ignacio,0,5,36,2019-04-12,2019 WPA Players Championship Qualifier 1
36,Michael Leahy,Duong Quoc Hoang,0,5,37,2019-04-12,2019 WPA Players Championship Qualifier 1
37,Lefteris Georgiou,James Aranas,3,5,38,2019-04-12,2019 WPA Players Championship Qualifier 1
38,Max Eberle,Ri Teng Liu,5,2,39,2019-04-12,2019 WPA Players Championship Qualifier 1
39,Jeffrey De Luna,Che-Wei Fu,5,2,40,2019-04-12,2019 WPA Players Championship Qualifier 1
40,Szu-Ting Kuo,Kai Lun Hsu,1,5,41,2019-04-12,2019 WPA Players Championship Qualifier 1
41,Cheng-Chieh Liu,Raymund Faraon,3,5,42,2019-04-12,2019 WPA Players Championship Qualifier 1
42,Nicholas De Leon,Vang Bui Xuan,5,3,43,2019-04-12,2019 WPA Players Championship Qualifier 1
43,Jalal Yousef,Donny Branson,1,5,44,2019-04-12,2019 WPA Players Championship Qualifier 1
44,Jeffrey Ignacio,Duong Quoc Hoang,2,5,45,2019-04-12,2019 WPA Players Championship Qualifier 1
45,James Aranas,Max Eberle,5,2,46,2019-04-12,2019 WPA Players Championship Qualifier 1
46,Jeffrey De Luna,Kai Lun Hsu,0,5,47,2019-04-12,2019 WPA Players Championship Qualifier 1
47,Raymund Faraon,Nicholas De Leon,2,5,48,2019-04-12,2019 WPA Players Championship Qualifier 1
48,Donny Branson,Duong Quoc Hoang,0,5,49,2019-04-12,2019 WPA Players Championship Qualifier 1
