,date,playerA,playerARacks,playerB,playerBRacks,competition,matchIndex
59,2020-02-20 13:30:00,Gianmarco Tonini,9,Adam Mscisz,7,2020 EuroTour Treviso,60
60,2020-02-20 13:30:00,Valerio Castellano,9,Nico Sallmayer,8,2020 EuroTour Treviso,61
61,2020-02-20 09:00:00,Daniel Pleunik,8,Hervis Hamid,9,2020 EuroTour Treviso,62
62,2020-02-20 09:00:00,Zdenko Lisik,1,Dimitri Jungo,9,2020 EuroTour Treviso,63
63,2020-02-20 10:30:00,Marko Lisnic,8,Vincent Gomez,9,2020 EuroTour Treviso,64
64,2020-02-20 10:30:00,Marcel Price,9,Casper Matikainen,7,2020 EuroTour Treviso,65
65,2020-02-20 10:30:00,Mickey Krause,9,Luca Montanari,6,2020 EuroTour Treviso,66
66,2020-02-20 12:00:00,Albert Stensrod,5,Thomas Knittel,9,2020 EuroTour Treviso,67
67,2020-02-20 12:00:00,Matjaz Erculj,8,Oliver Ortmann,9,2020 EuroTour Treviso,68
68,2020-02-20 13:30:00,Marco Palmieri,8,Jan VanLierop,9,2020 EuroTour Treviso,69
69,2020-02-20 13:30:00,Konstantinos Koukiadakis,9,Pepijn DeWit,2,2020 EuroTour Treviso,70
70,2020-02-20 15:00:00,Aleksa Pecelj,9,Riccardo Sini,8,2020 EuroTour Treviso,71
71,2020-02-20 09:00:00,Daniele Corrieri,2,Daniel Maciol,9,2020 EuroTour Treviso,72
72,2020-02-20 09:00:00,Giacomo Maria Amorati,1,Juan Lizana,9,2020 EuroTour Treviso,73
73,2020-02-20 10:30:00,Emil-Andre Gangflot,8,Jose Alberto Delgado,9,2020 EuroTour Treviso,74
74,2020-02-20 10:30:00,Wilhelm Georg,9,Fabio Petroni,6,2020 EuroTour Treviso,75
75,2020-02-20 10:30:00,Tim DeRuyter,9,Vasileios Zoidis,4,2020 EuroTour Treviso,76
76,2020-02-20 12:00:00,John Torres,9,Roman Schleiner,2,2020 EuroTour Treviso,77
77,2020-02-20 12:00:00,Antonino Falduto,2,Dylan Vyvey,9,2020 EuroTour Treviso,78
78,2020-02-20 13:30:00,Marco Dorenburg,9,Menelaos Lolas,8,2020 EuroTour Treviso,79
79,2020-02-20 13:30:00,Vitaliy Patsura,2,Yannick Pongers,9,2020 EuroTour Treviso,80
80,2020-02-20 13:30:00,Enrik Tenk,9,Pedro Pereira,7,2020 EuroTour Treviso,81
81,2020-02-20 15:00:00,Andreja Klasovic,9,Marcel Stecher,1,2020 EuroTour Treviso,82
82,2020-02-20 15:00:00,Joshua Filler,9,Sergio Lagunas,2,2020 EuroTour Treviso,83
83,2020-02-20 15:00:00,Jan Rempe,6,Henrique Correia,9,2020 EuroTour Treviso,84
84,2020-02-20 15:00:00,Alberto Ferrara,2,Petri Makkonen,9,2020 EuroTour Treviso,85
85,2020-02-20 16:30:00,Moritz Neuhausen,6,Niels Feijen,9,2020 EuroTour Treviso,86
86,2020-02-20 16:30:00,Ivar Saris,9,Francesco Candela,1,2020 EuroTour Treviso,87
87,2020-02-20 18:00:00,Chris Melling,3,Tobias Bongers,9,2020 EuroTour Treviso,88
88,2020-02-20 18:00:00,Jani Uski,9,Niklas Dohr,1,2020 EuroTour Treviso,89
89,2020-02-20 18:00:00,Gianluca Cappella,7,Oliver Szolnoki,9,2020 EuroTour Treviso,90
90,2020-02-20 15:00:00,Mateusz Sniegocki,9,Piotr Ostrowski,7,2020 EuroTour Treviso,91
91,2020-02-20 15:00:00,Jonas Souto,9,Johannes Geihe,0,2020 EuroTour Treviso,92
92,2020-02-20 16:30:00,Gerasimos Trivizas,9,Pia Filler,0,2020 EuroTour Treviso,93
93,2020-02-20 16:30:00,Daniel Konrad,4,Sanjin Pehlivanovic,9,2020 EuroTour Treviso,94
94,2020-02-20 16:30:00,Roman Hybler,9,Zoran Pucar,3,2020 EuroTour Treviso,95
95,2020-02-20 18:00:00,Vladimir Matvienko,9,Mihkel Rehepap,7,2020 EuroTour Treviso,96
96,2020-02-20 18:00:00,Jorge Garcia-Fonseca,2,Mario Valchev,9,2020 EuroTour Treviso,97
97,2020-02-20 18:00:00,Fabio Rizzi,8,Ralf Souquet,9,2020 EuroTour Treviso,98
98,2020-02-20 15:00:00,Ruslan Chinahov,8,Jani Siekkinen,9,2020 EuroTour Treviso,99
99,2020-02-20 15:00:00,Imran Majid,6,Jere Virtaranta,9,2020 EuroTour Treviso,100
100,2020-02-20 16:30:00,Mustafa Alnar,9,Jannik Putsche,7,2020 EuroTour Treviso,101
101,2020-02-20 16:30:00,Giovanni DiMartino,2,Dimitris Loukatos,9,2020 EuroTour Treviso,102
102,2020-02-20 16:30:00,Albin Ouschan,9,Francisco Diaz-Pizarro,5,2020 EuroTour Treviso,103
103,2020-02-20 18:00:00,Andrea Cianciaruso,7,Yvonne Ullmann-Hybler,9,2020 EuroTour Treviso,104
104,2020-02-20 18:00:00,Sergey Lutsker,9,Christian Froehlich,6,2020 EuroTour Treviso,105
105,2020-02-20 18:00:00,Davy Piergiovanni,9,Marc Bijsterbosch,7,2020 EuroTour Treviso,106
106,2020-02-20 15:00:00,Fedor Gorst,9,Daniel Resch,8,2020 EuroTour Treviso,107
107,2020-02-20 15:00:00,Ronald Regli,9,Marharyta Fefilava,4,2020 EuroTour Treviso,108
108,2020-02-20 16:30:00,Arjan Matrizi,9,Andrey Seroshtan,8,2020 EuroTour Treviso,109
109,2020-02-20 16:30:00,Alex Montpellier,5,Radoslaw Babica,9,2020 EuroTour Treviso,110
110,2020-02-20 16:30:00,David Alcaide,9,Viacheslav Skvortsov,3,2020 EuroTour Treviso,111
111,2020-02-20 18:00:00,Osman Sanlisoy,9,Michael Huetter,2,2020 EuroTour Treviso,112
112,2020-02-20 18:00:00,Jeppe Thyde,9,Darren Appleton,6,2020 EuroTour Treviso,113
113,2020-02-20 19:30:00,Quinten Pongers,9,Damianos Giallourakis,8,2020 EuroTour Treviso,114
114,2020-02-20 15:00:00,Eklent Kaci,9,Stanimir Ruslanov,6,2020 EuroTour Treviso,115
115,2020-02-20 15:00:00,Manuel Pereira,9,Gabor Solymosi,7,2020 EuroTour Treviso,116
116,2020-02-20 16:30:00,Michal Turkowski,5,Nikos Ekonomopoulos,9,2020 EuroTour Treviso,117
117,2020-02-20 16:30:00,Nick Malai,9,Mats Schjetne,4,2020 EuroTour Treviso,118
118,2020-02-20 16:30:00,Maksim Dudanets,9,Zoran Svilar,8,2020 EuroTour Treviso,119
119,2020-02-20 18:00:00,Wojciech Sroczynski,7,Elliott Sanderson,9,2020 EuroTour Treviso,120
120,2020-02-20 18:00:00,Gianluca Ascheri,5,Karol Skowerski,9,2020 EuroTour Treviso,121
121,2020-02-20 19:30:00,Mariusz Skoneczny,7,Thomasz Kaplan,9,2020 EuroTour Treviso,122
122,2020-02-20 15:00:00,Alexander Kazakis,9,Bora Anar,0,2020 EuroTour Treviso,123
123,2020-02-20 15:00:00,Jan Wolf,3,Jayson Shaw,9,2020 EuroTour Treviso,124
124,2020-02-20 16:30:00,Thomas Poschl,5,Andreas Madsen,9,2020 EuroTour Treviso,125
